Jurisdiction,Legislation title - english,Legislation title - official language,Legislation reference,Year_enacted,Year_last_amendment,Year of consultation,URL,Key,
Newfoundland and Labrador,Revenue Administration Regulations,,73/11,2011,,2021,https://www.assembly.nl.ca/Legislation/sr/regulations/rc110073.htm,NL,
Norway,Act 21 December 1990 no 72 relating to tax on discharge of CO2 in the petroleum activities on the continental shelf ,,,1990,,2021,https://www.npd.no/en/Regulations/Acts/CO2-discharge-tax/,NOR,
Norway,Act concerning Sales Tax,,11/1933,1933,,,https://app.uio.no/ub/ujur/oversatte-lover/data/lov-19330519-011-eng.pdf,NOR-STA,
Norway,Energy Act,,,1990,,2021,https://climate-laws.org/geographies/norway/laws/the-energy-act-no-50-of-1990,NOR-EA,
Poland,,,25-174/1988,1988,,2021,https://www.dziennikustaw.gov.pl/DU/1988/s/25/174,POL,
Poland,,,42-245/1990,1990,,2021,https://www.dziennikustaw.gov.pl/DU/1990/s/42/245,POL,
Poland,,,125-558/1991,1991,,2021,https://www.dziennikustaw.gov.pl/DU/1991/s/125/558,POL,
Poland,,,133-638/1993,1993,,2021,https://www.dziennikustaw.gov.pl/DU/1993/s/133/638,POL,
Poland,,,140-772/1994,1994,,2021,https://www.dziennikustaw.gov.pl/DU/1994/s/140/772,POL,
Poland,,,153-775/1995,1995,,2021,https://www.dziennikustaw.gov.pl/DU/1995/s/153/775,POL,
Poland,,,154-747/1996,1996,,2021,https://www.dziennikustaw.gov.pl/DU/1996/s/154/747,POL,
Poland,,,29-162/1997,1997,,2021,"https://www.infor.pl/akt-prawny/DZU.1997.162.0001117,rozporzadzenie-rady-ministrow-w-sprawie-oplat-za-wprowadzanie-substancji-zanieczyszczajacych-do-powietrza-oraz-za-usuwanie-drzew-lub-krzewow.html",POL,
Poland,,,162-1129/1998,1998,,2021,https://www.dziennikustaw.gov.pl/DU/1998/s/162/1129,POL,
Poland,,,111-1261/1999,1999,,2021,https://www.dziennikustaw.gov.pl/DU/1999/s/110/1261,POL,
Poland,,,120-1288/2000,2000,,2021,,POL,
Poland,Environmental Protection Law,,,2001,,2021,https://esdac.jrc.ec.europa.eu/Library/Themes/Contamination/workshop_Nov2003/legislation/PolandEnvironmentalProtectionAct.pdf,POL-EPL,
Poland,,ROZPORZ„DZENIE RADY MINISTRîW z dnia 9 padziernika 2001 r. w sprawie op¸at za korzystanie ze ærodowiska,130-1453/2001,2001,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2001/wydanie/130/pozycja/1453,POL,
Poland,,ROZPORZN_DZENIE RADY MINISTRîW z dnia 14 grudnia 2004 r. w sprawie op¸at za korzystanie ze ærodowiska ka,279-2758/2004,2004,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2004/wydanie/279/pozycja/2758,POL,
Poland,,,260-2176/2004,2005,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2005/wydanie/260/pozycja/2176,POL,
Poland,,,196-1217/2008,2008,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2008/wydanie/196/pozycja/1217,POL,
Poland,,,1875/2015,2015,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2015/pozycja/1875,POL,
Poland,Executive Order,,2490/2017,2017,,2021,https://www.dziennikustaw.gov.pl/DU/rok/2017/pozycja/2490,POL,
Quebec,Determination of annual caps on GHG emission units,,O.C. 1185-2012,2012,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=1&file=2389.PDF,QC-GHGC,
Quebec,Regulation respecting a cap-and-trade system for greenhouse gas emission allowances,,"Environment Quality Act - chapter Q-2, r. 46.1",,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=3&file=/Q_2/Q2R46_1_A.HTM,QC-CAT,
Rhode Island,CHAPTER 23-82 - Implementation of the Regional Greenhouse Gas Initiative Act - SECTION 23-82-6,,,2007,2014,2015,http://webserver.rilin.state.ri.us/Statutes/title23/23-82/23-82-6.HTM,RI-RA,
Singapore,Carbon Pricing Act,,26/2018,2018,,,https://sso.agc.gov.sg/Acts-Supp/23-2018/Published/20180601?DocDate=20180601,SG,
Slovenia,U R E D B O o taksi za obremenjevanje zraka z emisijo ogljikovega dioksida,,91/02,2002,,2015,http://www.uradni-list.si/_pdf/2002/Ur/u2002091.pdf#!/u2002091-pdf,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,68/96,1996,,,http://pisrs.si/Pis.web/pregledPredpisa?id=URED96,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,Feb-97,1997,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,24/98,1998,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,65/98,1998,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,51/99,1999,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,42/00,2000,,,,SL-CO2,
Slovenia,Regulation on the environmental tax on air pollution by carbon dioxide emissions,,48/2018,2018,,,,SL-CO2,
Slovenia,Regulation amending the Regulation on the environmental tax on air pollution by carbon dioxide emissions,,168/20,2020,,,,SL-CO2,
Ukraine,Tax code of Ukraine,,,,,2021,https://zakon.rada.gov.ua/laws/show/2755-17,,
South Africa,Carbon Tax Act 15 of 2019,,No. 42483,2019,,2021,https://www.gov.za/sites/default/files/gcis_document/201905/4248323-5act15of2019carbontaxact.pdf,SAGOV,
Latvia,Natural Resources Tax Law,,209,2004,,2021,https://www.saeima.lv/L_Saeima8/lasa-dd=LP1402_0.htm,LV-NRTL,
Switzerland,Ordinance on the Reduction of CO2 Emissions (CO2 Ordinance),,SR 641.711,2012,,,https://fedlex.data.admin.ch/filestore/fedlex.data.admin.ch/eli/cc/2012/856/20200101/en/pdf-a/fedlex-data-admin-ch-eli-cc-2012-856-20200101-en-pdf-a.pdf,CHE-CO2,
Switzerland,Federal Act on the Reduction of CO2,,SR 641.71,2013,,2015,https://www.fedlex.admin.ch/eli/cc/2012/855/en,CHE-FARC,
Ukraine,Tax code of Ukraine,,,,,2021,https://zakon.rada.gov.ua/laws/show/2755-17,,
Hubei,Notice of the Provincial Department of Ecology and Environment on Issuing the 'Hubei Province 2019 Carbon Emission Right Quota Allocation Plan',,MB1803251/2020-133478,2020,,2021,http://sthjt.hubei.gov.cn/fbjd/zc/zcwj/sthjt/ehf/202008/t20200819_2807965.shtml,HB,
Hubei,Hubei Province Carbon Emission Allowance Allocation Plan,,,2014,,2021,http://www.carbonmanager.net/media/carbonbutler/images/hubei02.pdf,HB,
