Name of file,Year of calculations,Path,Tag
Sweden_Historical_taxrates,2016,C:\Users\gd396\Dropbox\Cambridge\Research\PE\Data\Raw data\CO2_price\Sweden,SW-HTR
KRX_KAU17_closing_data,2018,/Users/GD/Dropbox/Cambridge/Research/PE/Data/Data_external/Effective Carbon Price/Price_downloads/SK ETS,SK-KAU
