IPCC_CODE,CODENAME,FULLNAME,IEA_CODE,lowest_level
3B1B,LandConvertedToForestLand,Land converted to Forest Land,,1
3B2,Cropland,Cropland,,0
3B2A,CroplandRemainingCropland,Cropland remaining Cropland,,1
3B2B,LandConvertedToCropland,Land converted to Cropland,,1
3B3,Grassland,Grassland,,0
3B3A,GrasslandRemainingGrassland,Grassland remaining Grassland,,1
3B3B,LandConvertedToGrassland,Land converted to Grassland,,1
3B4,Wetlands,Wetlands,,0
3B4A,WetlandsRemainingWetlands,Wetlands remaining Wetlands,,1
3B4B,LandConvertedToWetlands,Land converted to Wetlands,,1
3B5,Settlements,Settlements,,0
3B5A,SettlementsRemainingSettlements,Settlements remaining Settlements,,1
3B5B,LandConvertedToSettlements,Land converted to Settlements,,1
3B6,OtherLand,Other Land,,0
3B6A,OtherLandRemainingOtherLand,Other Land remaining Other Land,,1
3B6B,LandConvertedToOtherLand,Land converted to Other Land,,0
3B6B1,ForestLandConvertedToOtherLand,Forest Land converted to Other Land,,1
3B6B2,CroplandConvertedToOtherLand,Cropland converted to Other Land,,1
3B6B3,GrasslandConvertedToOtherLand,Grassland converted to Other Land,,1
3B6B4,WetlandsConvertedToOtherLand,Wetlands converted to Other Land,,1
3B6B5,SettlementsConvertedToOtherLand,Settlements converted to Other Land,,1
3C,AggregateSourcesAndNonCO2EmissionsSourcesOnLand,Aggregate sources and non-CO2 emissions sources on land,,0
3C1,EmissionsFromBiomassBurning,Emissions from Biomass Burning,,1
3C2,Liming,Liming,,1
3C3,UreaApplication,Urea Application,,1
3C4,DirectN2OEmissionsFromManagedSoils,Direct N2O Emissions from Managed Soils,,1
3C5,IndirectN2OEmissionsFromManagedSoils,Indirect N2O Emissions from Managed Soils,,1
3C6,IndirectN2OEmissionsFromManureMangement,Indirect N2O Emissions from Manure Mangement,,1
3C7,RiceCultivations,Rice Cultivations,,1
3C8,Other,Other (please specify),,1
3D,Other,Other,,0
3D1,HarvestedWoodProducts,Harvested Wood Products,,1
3D2,Other,Other (please specify),,1
4,Waste,Waste,,0
4A,SolidWasteDisposal,Solid Waste Disposal,,0
4A1,ManagedWasteDisposalSites,Managed Waste Disposal Sites,,1
4A2,UnmanagedWasteDisposalSites,Unmanaged Waste Disposal Sites,,1
4A3,UncategorisedWasteDisposalSites,Uncategorised Waste Disposal Sites,,1
4B,BiologicalTreatmentOfSolidWaste,Biological Treatment of Solid Waste,,1
4C,IncinerationAndOpenBurningOfWaste,Incineration and Open Burning of Waste,,0
4C1,WasteIncineration,Waste Incineration,,1
4C2,OpenBurningOfWaste,Open Burning of Waste,,1
4D,WastewaterTreatmentAndDischarge,Wastewater Treatment and Discharge,,0
4D1,DomesticWastewaterTreatmentAndDischarge,Domestic wastewater Treatment and Discharge,,1
4D2,IndustrialWastewaterTreatmentAndDischarge,Industrial Wastewater Treatment and Discharge,,1
4E,Other,Other,,1
5,Other,Other,,0
5A,DepositionOfNonAgriculturalSourcesOfNOxAndNH3,Deposition of non-agricultural sources of NOx and NH3,,0
5A1,IndirectN2OFromNonagriculturalNOx,Indirect N2O from non-agricultural NOx,,1
5A2,IndirectN2OFromNonagriculturalNH3,Indirect N2O from non-agricultural NH3,,1
