scheme_id,scheme_name,scheme_type,implementing_legislation,legislation_year,implementation_year,ghg,sector,source,comment
nzl_ets,New Zealand ETS,ets,,,2008,"CO2, CH4, N2O, SF6, HFCs, PFCs",,ICAP,
pol_tax,Poland carbon tax,tax,,,1990,CO2,,,
prt_tax,Portugal carbon tax,tax,,,2015,CO2,,,
sgp_tax,Singapore carbon tax,tax,,,2019,"CO2, CH4, N2O, SF6, HFCs, PFCs",,,
slo_tax,Slovenia carbon tax,tax,,,1996,CO2,,,
swe_tax,Sweden carbon tax,tax,,,1991,CO2,,,
twn_tax,Taiwan carbon fee,tax,,,2025,,,,
ukr_tax,Ukraine carbon tax,tax,,,2011,CO2,,,
ury_tax,Uruguay CO2 tax,tax,,,2022,CO2,,,
usa_ca_ets,California CaT,ets,,,2012,"CO2, CH4, N2O, SF6, HFCs, PFCs, NF3",,ICAP,
usa_ma_ets,Massachusetts ETS,ets,,,2018,CO2,,ICAP,
usa_or_ets,Oregon Climate Protection Program,ets,,,2022,"CO2, CH4, N2O, HFCs, PFCs, SF6",,ICAP,
usa_rggi,RGGI,ets,,,2009,CO2,,ICAP,
usa_va_ets,Virginia ETS,ets,,,,,,,
usa_wa_car,Washington CAR,ets,,,2023,,,,
zaf_tax,South Africa carbon tax,tax,,,2019,CO2,,,
