Jurisdiction,Year,Title,Insititution,Key
multi_jur,2003,State and trends of the carbon market,WB,WB - SCM
multi_jur,2004,State and trends of the carbon market,WB,WB - SCM
multi_jur,2005,State and trends of the carbon market,WB,WB - SCM
multi_jur,2006,State and trends of the carbon market,WB,WB - SCM
multi_jur,2007,State and trends of the carbon market,WB,WB - SCM
multi_jur,2008,State and trends of the carbon market,WB,WB - SCM
multi_jur,2009,State and trends of the carbon market,WB,WB - SCM
multi_jur,2010,State and trends of the carbon market,WB,WB - SCM
multi_jur,2011,State and trends of the carbon market,WB,WB - SCM
multi_jur,2012,State and trends of the carbon market,WB,WB - SCM
multi_jur,2013,Mapping Carbon Pricing Initiatives,WB,WB - CPI
multi_jur,2014,Carbon Pricing Brief,WB,WB - CPB
multi_jur,2014,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2015,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2015,Background note on Carbon Tax,WB,WB - BCT
multi_jur,2017,Carbon Tax Guide: A Handbook for Policy Makers,WB,WB
multi_jur,2016,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2017,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2018,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2019,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2020,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2021,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2012,Carbon Pricing Report,CETRiE,CETRiE - CPR
multi_jur,2009,Carbon Taxes: A Review of Experience and Policy Design Considerations,US National Renewable Energy Laboratory,SUM-BIR
multi_jur,2015,Energy Prices and Taxes,IEA,IEA-EPT
multi_jur,2018,Energy Prices and Taxes,IEA,IEA-EPT
multi_jur,2020,Energy Prices and Taxes,IEA,IEA-EPT
multi_jur,2013,Evaluation of environmental tax reforms,IEEP,IEEP-ETR
multi_jur,2015,EU ETS Handbook,European Commission,EC-ETS
New Brunswick,2020,"New Brunswick - tax on carbon-emitting products starts April 1, 2020",KPMG,KPMG
Norway,2001,Energy Policies of IEA Countries: Norway,IEA,IEA-NO
Poland,2012,"OECD Economic Surveys
POLAND",OECD,OECD
Poland,2015,OECD Environmental Performand Reviews - Poland,OECD ,OECD - EP - P
Quebec,2013,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-I
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-II
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-III
Quebec,2014,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-IV
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-V
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VI
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VII
Quebec,2015,Vente aux encheres d'unites d'emission de gaz a effet de serre,Gouvernement du Quebec,QC-AR-VII
Quebec,2013,Free Allowances,Gouvernement du Quebec,QC-FA-I
Quebec,2014,Free Allowances,Gouvernement du Quebec,QC-FA-II
South Africa,2020,Carbon Market Business Brief - South Africa,IETA,IETA
South Africa,2021,Carbon Market Business Brief - South Africa,IETA,IETA
Sweden,2011,CO2 Taxation in Sweden - 20 years of experience and looking ahead,Swedish Ministry of Finance (Hammar&Hakerfeldt),SMF - CT
Switzerland,2015,CLIMATE CHANGE LEGISLATION IN SWITZERLAND - AN EXCERPT FROM The 2015 Global Climate Legislation Study A Review of Climate Change Legislation in 99 Countries,GLOBE,GLOBE-SWI
Tokyo Cap and Trade,2014,,Argus,TK-CAT
Ukraine,2014,Improving the existing carbon charge in Ukraine as an interim policy towards emissions trading ,European Bank for Reconstruction and Development,EBRD
Washington State,2014,Report to the Washington State Governorâ Office,Carbon Emissions Reduction Taskforce,CERT - G
