Jurisdiction,Year,IPCC_cat_code,Product,tax_dummy,ets_dummy,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Belgium,1989,1A4C1,Oil,,,,,
Belgium,1989,1A4C2,Coal/peat,,,,,
Belgium,1989,1A4C2,Natural gas,,,,,
Belgium,1989,1A4C2,Oil,,,,,
Belgium,1989,1A4C3,Coal/peat,,,,,
Belgium,1989,1A4C3,Natural gas,,,,,
Belgium,1989,1A4C3,Oil,,,,,
Belgium,1989,1A5,Coal/peat,,,,,
Belgium,1989,1A5,Natural gas,,,,,
Belgium,1989,1A5,Oil,,,,,
Belgium,1989,1A5A,Coal/peat,,,,,
Belgium,1989,1A5A,Natural gas,,,,,
Belgium,1989,1A5A,Oil,,,,,
Belgium,1989,1A5B,Coal/peat,,,,,
Belgium,1989,1A5B,Natural gas,,,,,
Belgium,1989,1A5B,Oil,,,,,
Belgium,1989,1A5C,Coal/peat,,,,,
Belgium,1989,1A5C,Natural gas,,,,,
Belgium,1989,1A5C,Oil,,,,,
Belgium,1989,1B,,,,,,
Belgium,1989,1B1,,,,,,
Belgium,1989,1B1A,,,,,,
Belgium,1989,1B1A1,,,,,,
Belgium,1989,1B1A11,,,,,,
Belgium,1989,1B1A12,,,,,,
Belgium,1989,1B1A13,,,,,,
Belgium,1989,1B1A14,,,,,,
Belgium,1989,1B1A2,,,,,,
Belgium,1989,1B1A21,,,,,,
Belgium,1989,1B1A22,,,,,,
Belgium,1989,1B1B,,,,,,
Belgium,1989,1B2,,,,,,
Belgium,1989,1B2A,,,,,,
Belgium,1989,1B2A1,,,,,,
Belgium,1989,1B2A2,,,,,,
Belgium,1989,1B2A3,,,,,,
Belgium,1989,1B2A31,,,,,,
Belgium,1989,1B2A32,,,,,,
Belgium,1989,1B2A33,,,,,,
Belgium,1989,1B2A34,,,,,,
Belgium,1989,1B2A35,,,,,,
Belgium,1989,1B2A36,,,,,,
Belgium,1989,1B2B,,,,,,
Belgium,1989,1B2B1,,,,,,
Belgium,1989,1B2B2,,,,,,
Belgium,1989,1B2B3,,,,,,
Belgium,1989,1B2B31,,,,,,
Belgium,1989,1B2B32,,,,,,
Belgium,1989,1B2B33,,,,,,
Belgium,1989,1B2B34,,,,,,
Belgium,1989,1B2B35,,,,,,
Belgium,1989,1B2B36,,,,,,
Belgium,1989,1B3,,,,,,
Belgium,1989,1C,,,,,,
Belgium,1989,1C1,,,,,,
Belgium,1989,1C1A,,,,,,
Belgium,1989,1C1B,,,,,,
Belgium,1989,1C1C,,,,,,
Belgium,1989,1C2,,,,,,
Belgium,1989,1C2A,,,,,,
Belgium,1989,1C2B,,,,,,
Belgium,1989,1C3,,,,,,
Belgium,1989,2,,,,,,
Belgium,1989,20,,,,,,
Belgium,1989,200,,,,,,
Belgium,1989,2000,,,,,,
Belgium,1989,20000,,,,,,
Belgium,1989,200000,,,,,,
Belgium,1989,2A,,,,,,
Belgium,1989,2A1,,,,,,
Belgium,1989,2A2,,,,,,
Belgium,1989,2A3,,,,,,
Belgium,1989,2A4,,,,,,
Belgium,1989,2A4A,,,,,,
Belgium,1989,2A4B,,,,,,
Belgium,1989,2A4C,,,,,,
Belgium,1989,2A4D,,,,,,
Belgium,1989,2B,,,,,,
Belgium,1989,2B1,,,,,,
Belgium,1989,2B10,,,,,,
Belgium,1989,2B2,,,,,,
Belgium,1989,2B3,,,,,,
Belgium,1989,2B4,,,,,,
Belgium,1989,2B5,,,,,,
Belgium,1989,2B6,,,,,,
Belgium,1989,2B7,,,,,,
Belgium,1989,2B8,,,,,,
Belgium,1989,2B8A,,,,,,
Belgium,1989,2B8B,,,,,,
Belgium,1989,2B8C,,,,,,
Belgium,1989,2B8D,,,,,,
Belgium,1989,2B8E,,,,,,
Belgium,1989,2B8F,,,,,,
Belgium,1989,2B9,,,,,,
Belgium,1989,2B9A,,,,,,
Belgium,1989,2B9B,,,,,,
Belgium,1989,2C,,,,,,
Belgium,1989,2C1,,,,,,
Belgium,1989,2C2,,,,,,
Belgium,1989,2C3,,,,,,
Belgium,1989,2C4,,,,,,
Belgium,1989,2C5,,,,,,
Belgium,1989,2C6,,,,,,
Belgium,1989,2C7,,,,,,
Belgium,1989,2D,,,,,,
Belgium,1989,2D1,,,,,,
Belgium,1989,2D2,,,,,,
Belgium,1989,2D3,,,,,,
Belgium,1989,2D4,,,,,,
Belgium,1989,2E,,,,,,
Belgium,1989,2F,,,,,,
Belgium,1989,2F1,,,,,,
Belgium,1989,2F2,,,,,,
Belgium,1989,2F3,,,,,,
Belgium,1989,2F4,,,,,,
Belgium,1989,2F5,,,,,,
Belgium,1989,2F6,,,,,,
Belgium,1989,2G,,,,,,
Belgium,1989,2G1,,,,,,
Belgium,1989,2G2,,,,,,
Belgium,1989,2G3,,,,,,
Belgium,1989,2G4,,,,,,
Belgium,1989,2H,,,,,,
Belgium,1989,2H1,,,,,,
Belgium,1989,2H2,,,,,,
Belgium,1989,2H3,,,,,,
Belgium,1989,3,,,,,,
Belgium,1989,3A,,,,,,
Belgium,1989,3A1,,,,,,
Belgium,1989,3A2,,,,,,
Belgium,1989,3B,,,,,,
Belgium,1989,3B1,,,,,,
Belgium,1989,3B1A,,,,,,
Belgium,1989,3B1B,,,,,,
Belgium,1989,3B2,,,,,,
Belgium,1989,3B2A,,,,,,
Belgium,1989,3B2B,,,,,,
Belgium,1989,3B3,,,,,,
Belgium,1989,3B3A,,,,,,
Belgium,1989,3B3B,,,,,,
Belgium,1989,3B4,,,,,,
Belgium,1989,3B4A,,,,,,
Belgium,1989,3B4B,,,,,,
Belgium,1989,3B5,,,,,,
Belgium,1989,3B5A,,,,,,
Belgium,1989,3B5B,,,,,,
Belgium,1989,3B6,,,,,,
Belgium,1989,3B6A,,,,,,
Belgium,1989,3B6B,,,,,,
Belgium,1989,3B6B1,,,,,,
Belgium,1989,3B6B2,,,,,,
Belgium,1989,3B6B3,,,,,,
Belgium,1989,3B6B4,,,,,,
Belgium,1989,3B6B5,,,,,,
Belgium,1989,3C,,,,,,
