act_id,source_id,jurisdiction,instrument_name,instrument_type,citation,adoption_date,publication_date,entry_into_force,source_url
FR_LF_2014,FRA-TAX-leg-002,France,Loi de finances pour 2014,Finance law,Loi n° 2013-1278 du 29 décembre 2013,,,,
FR_LF_2018,FRA-TAX-leg-003,France,Loi de finances pour 2018,Finance law,Loi n° 2017-1837 du 30 décembre 2017,,,,
FR_CD_266Q,FRA-TAX-leg-004,France,Code des douanes – Article 266 quinquies,Code article,Article 266 quinquies,,,,
