jurisdiction,year,ipcc_code,Product,ets,ets_id,ets_price,ets_curr_code,tax,tax_id,tax_rate_excl_ex_clcu,tax_curr_code,tax_ex_rate,tax_2,tax_2_id,tax_2_rate_excl_ex_clcu,tax_2_curr_code
Vanuatu,1989,1A3A1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3A2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3A2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3A2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3B,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3B,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3B,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3C,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3C,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3C,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D1,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D1,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D1,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D2,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D2,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3D2,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3E,Coal,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3E,Natural gas,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3E,Oil,0.0,,,,0.0,,,,,,,,
Vanuatu,1989,1A3E1,Coal,0.0,,,,0.0,,,,,,,,
