scheme_id,year,allowance_price,currency_code,source,comment
gbr_ets,2021,55.5938554,GBP,db(Ember[2022]),arithmetic average of daily prices
gbr_ets,2022,75.42,GBP,db(ICAP-ETS[2022]),average auction price
