scheme_id,Jurisdiction,Year,IPCC_code,em_share,source,comment
can_ab_tax,Alberta,2017,0,NA,,
can_ab_tax,Alberta,2017,1,NA,,
can_ab_tax,Alberta,2017,1A,NA,,
can_ab_tax,Alberta,2017,1A1,NA,,
can_ab_tax,Alberta,2017,1A1A,NA,,
can_ab_tax,Alberta,2017,1A1A1,1,,
can_ab_tax,Alberta,2017,1A1A2,1,,
can_ab_tax,Alberta,2017,1A1A3,1,,
can_ab_tax,Alberta,2017,1A1B,NA,,
can_ab_tax,Alberta,2017,1A1C,NA,,
can_ab_tax,Alberta,2017,1A2,NA,,
can_ab_tax,Alberta,2017,1A2A,1,,
can_ab_tax,Alberta,2017,1A2B,1,,
can_ab_tax,Alberta,2017,1A2C,1,,
can_ab_tax,Alberta,2017,1A2D,1,,
can_ab_tax,Alberta,2017,1A2E,1,,
can_ab_tax,Alberta,2017,1A2F,1,,
can_ab_tax,Alberta,2017,1A2G,1,,
can_ab_tax,Alberta,2017,1A2H,1,,
can_ab_tax,Alberta,2017,1A2I,1,,
can_ab_tax,Alberta,2017,1A2J,1,,
can_ab_tax,Alberta,2017,1A2K,1,,
can_ab_tax,Alberta,2017,1A2L,1,,
can_ab_tax,Alberta,2017,1A2M,1,,
can_ab_tax,Alberta,2017,1A3,NA,,
can_ab_tax,Alberta,2017,1A3A,NA,,
can_ab_tax,Alberta,2017,1A3A1,NA,,
can_ab_tax,Alberta,2017,1A3A2,NA,,
can_ab_tax,Alberta,2017,1A3B,1,,
can_ab_tax,Alberta,2017,1A3C,NA,,
can_ab_tax,Alberta,2017,1A3D,1,,
can_ab_tax,Alberta,2017,1A3D1,1,,
can_ab_tax,Alberta,2017,1A3D2,1,,
can_ab_tax,Alberta,2017,1A3E,1,,
can_ab_tax,Alberta,2017,1A3E1,1,,
can_ab_tax,Alberta,2017,1A4,NA,,
can_ab_tax,Alberta,2017,1A4A,1,,
can_ab_tax,Alberta,2017,1A4B,1,,
can_ab_tax,Alberta,2017,1A4C,NA,,
can_ab_tax,Alberta,2017,1A4C1,1,,
can_ab_tax,Alberta,2017,1A4C2,1,,
can_ab_tax,Alberta,2017,1A4C3,1,,
can_ab_tax,Alberta,2017,1A5,NA,,
can_ab_tax,Alberta,2017,1A5A,1,,
can_ab_tax,Alberta,2017,1A5B,1,,
can_ab_tax,Alberta,2017,1A5C,1,,
can_ab_tax,Alberta,2017,1B,NA,,
