scheme_id,jurisdiction,year,ipcc_code,cf_CO2,cf_CO2_source,cf_CO2_comment
nld_tax_II,Netherlands,2022,2B8,,NA,NA
nld_tax_II,Netherlands,2022,2B8A,,NA,NA
nld_tax_II,Netherlands,2022,2B8B,,NA,NA
nld_tax_II,Netherlands,2022,2B8C,,NA,NA
nld_tax_II,Netherlands,2022,2B8D,,NA,NA
nld_tax_II,Netherlands,2022,2B8E,,NA,NA
nld_tax_II,Netherlands,2022,2B8F,,NA,NA
nld_tax_II,Netherlands,2022,2B9,,NA,NA
nld_tax_II,Netherlands,2022,2B9A,,NA,NA
nld_tax_II,Netherlands,2022,2B9B,,NA,NA
nld_tax_II,Netherlands,2022,2C,,NA,NA
nld_tax_II,Netherlands,2022,2C1,,NA,NA
nld_tax_II,Netherlands,2022,2C2,,NA,NA
nld_tax_II,Netherlands,2022,2C3,,NA,NA
nld_tax_II,Netherlands,2022,2C4,,NA,NA
nld_tax_II,Netherlands,2022,2C5,,NA,NA
nld_tax_II,Netherlands,2022,2C6,,NA,NA
nld_tax_II,Netherlands,2022,2C7,,NA,NA
nld_tax_II,Netherlands,2022,2D,,NA,NA
nld_tax_II,Netherlands,2022,2D1,,NA,NA
nld_tax_II,Netherlands,2022,2D2,,NA,NA
nld_tax_II,Netherlands,2022,2D3,,NA,NA
nld_tax_II,Netherlands,2022,2D4,,NA,NA
nld_tax_II,Netherlands,2022,2E,,NA,NA
nld_tax_II,Netherlands,2022,2E1,,NA,NA
nld_tax_II,Netherlands,2022,2E2,,NA,NA
nld_tax_II,Netherlands,2022,2E3,,NA,NA
nld_tax_II,Netherlands,2022,2E4,,NA,NA
nld_tax_II,Netherlands,2022,2E5,,NA,NA
nld_tax_II,Netherlands,2022,2F,,NA,NA
nld_tax_II,Netherlands,2022,2F1,,NA,NA
nld_tax_II,Netherlands,2022,2F2,,NA,NA
nld_tax_II,Netherlands,2022,2F3,,NA,NA
nld_tax_II,Netherlands,2022,2F4,,NA,NA
nld_tax_II,Netherlands,2022,2F5,,NA,NA
nld_tax_II,Netherlands,2022,2F6,,NA,NA
nld_tax_II,Netherlands,2022,2G,,NA,NA
nld_tax_II,Netherlands,2022,2G1,,NA,NA
nld_tax_II,Netherlands,2022,2G2,,NA,NA
nld_tax_II,Netherlands,2022,2G3,,NA,NA
nld_tax_II,Netherlands,2022,2G4,,NA,NA
nld_tax_II,Netherlands,2022,2H,,NA,NA
nld_tax_II,Netherlands,2022,2H1,,NA,NA
nld_tax_II,Netherlands,2022,2H2,,NA,NA
nld_tax_II,Netherlands,2022,2H3,,NA,NA
nld_tax_II,Netherlands,2022,3,,NA,NA
nld_tax_II,Netherlands,2022,3A,,NA,NA
nld_tax_II,Netherlands,2022,3A1,,NA,NA
nld_tax_II,Netherlands,2022,3A2,,NA,NA
nld_tax_II,Netherlands,2022,3B,,NA,NA
nld_tax_II,Netherlands,2022,3B1,,NA,NA
nld_tax_II,Netherlands,2022,3B1A,,NA,NA
nld_tax_II,Netherlands,2022,3B1B,,NA,NA
nld_tax_II,Netherlands,2022,3B2,,NA,NA
nld_tax_II,Netherlands,2022,3B2A,,NA,NA
nld_tax_II,Netherlands,2022,3B2B,,NA,NA
nld_tax_II,Netherlands,2022,3B3,,NA,NA
nld_tax_II,Netherlands,2022,3B3A,,NA,NA
nld_tax_II,Netherlands,2022,3B3B,,NA,NA
nld_tax_II,Netherlands,2022,3B4,,NA,NA
nld_tax_II,Netherlands,2022,3B4A,,NA,NA
nld_tax_II,Netherlands,2022,3B4B,,NA,NA
nld_tax_II,Netherlands,2022,3B5,,NA,NA
nld_tax_II,Netherlands,2022,3B5A,,NA,NA
nld_tax_II,Netherlands,2022,3B5B,,NA,NA
nld_tax_II,Netherlands,2022,3B6,,NA,NA
nld_tax_II,Netherlands,2022,3B6A,,NA,NA
nld_tax_II,Netherlands,2022,3B6B,,NA,NA
nld_tax_II,Netherlands,2022,3B6B1,,NA,NA
nld_tax_II,Netherlands,2022,3B6B2,,NA,NA
nld_tax_II,Netherlands,2022,3B6B3,,NA,NA
nld_tax_II,Netherlands,2022,3B6B4,,NA,NA
nld_tax_II,Netherlands,2022,3B6B5,,NA,NA
nld_tax_II,Netherlands,2022,3C,,NA,NA
nld_tax_II,Netherlands,2022,3C1,,NA,NA
nld_tax_II,Netherlands,2022,3C2,,NA,NA
nld_tax_II,Netherlands,2022,3C3,,NA,NA
nld_tax_II,Netherlands,2022,3C4,,NA,NA
nld_tax_II,Netherlands,2022,3C5,,NA,NA
nld_tax_II,Netherlands,2022,3C6,,NA,NA
nld_tax_II,Netherlands,2022,3C7,,NA,NA
nld_tax_II,Netherlands,2022,3C8,,NA,NA
nld_tax_II,Netherlands,2022,3D,,NA,NA
nld_tax_II,Netherlands,2022,3D1,,NA,NA
nld_tax_II,Netherlands,2022,3D2,,NA,NA
nld_tax_II,Netherlands,2022,4,,NA,NA
nld_tax_II,Netherlands,2022,4A,,NA,NA
nld_tax_II,Netherlands,2022,4A1,,NA,NA
nld_tax_II,Netherlands,2022,4A2,,NA,NA
nld_tax_II,Netherlands,2022,4A3,,NA,NA
nld_tax_II,Netherlands,2022,4B,,NA,NA
nld_tax_II,Netherlands,2022,4C,,NA,NA
nld_tax_II,Netherlands,2022,4C1,,NA,NA
nld_tax_II,Netherlands,2022,4C2,,NA,NA
nld_tax_II,Netherlands,2022,4D,,NA,NA
nld_tax_II,Netherlands,2022,4D1,,NA,NA
nld_tax_II,Netherlands,2022,4D2,,NA,NA
nld_tax_II,Netherlands,2022,4E,,NA,NA
