scheme_id,jurisdiction,year,ipcc_code,cf_CO2,cf_CO2_source,cf_CO2_comment
mex_bc_tax,Baja California,2021,2A4C,1.0,NA,NA
mex_bc_tax,Baja California,2021,2A4D,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B,,NA,NA
mex_bc_tax,Baja California,2021,2B1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B10,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B2,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B3,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B4,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B5,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B6,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B7,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8,,NA,NA
mex_bc_tax,Baja California,2021,2B8A,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8B,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8C,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8D,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8E,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B8F,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B9,,NA,NA
mex_bc_tax,Baja California,2021,2B9A,1.0,NA,NA
mex_bc_tax,Baja California,2021,2B9B,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C,,NA,NA
mex_bc_tax,Baja California,2021,2C1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C2,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C3,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C4,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C5,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C6,1.0,NA,NA
mex_bc_tax,Baja California,2021,2C7,1.0,NA,NA
mex_bc_tax,Baja California,2021,2D,,NA,NA
mex_bc_tax,Baja California,2021,2D1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2D2,1.0,NA,NA
mex_bc_tax,Baja California,2021,2D3,1.0,NA,NA
mex_bc_tax,Baja California,2021,2D4,1.0,NA,NA
mex_bc_tax,Baja California,2021,2E,,NA,NA
mex_bc_tax,Baja California,2021,2E1,,NA,NA
mex_bc_tax,Baja California,2021,2E2,,NA,NA
mex_bc_tax,Baja California,2021,2E3,,NA,NA
mex_bc_tax,Baja California,2021,2E4,,NA,NA
mex_bc_tax,Baja California,2021,2E5,,NA,NA
mex_bc_tax,Baja California,2021,2F,,NA,NA
mex_bc_tax,Baja California,2021,2F1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2F2,1.0,NA,NA
mex_bc_tax,Baja California,2021,2F3,1.0,NA,NA
mex_bc_tax,Baja California,2021,2F4,1.0,NA,NA
mex_bc_tax,Baja California,2021,2F5,1.0,NA,NA
mex_bc_tax,Baja California,2021,2F6,1.0,NA,NA
mex_bc_tax,Baja California,2021,2G,,NA,NA
mex_bc_tax,Baja California,2021,2G1,1.0,NA,NA
mex_bc_tax,Baja California,2021,2G2,1.0,NA,NA
