01/01/2008,30/06/2008,0.1,,,,
01/07/2008,31/12/2008,0.3,,,,
01/01/2009,30/06/2009,0.3,,,,
01/07/2009,31/12/2009,0.3,,,,
01/01/2010,30/06/2010,0.4,,,,
01/07/2010,31/12/2010,0.5,,,,
01/01/2011,30/06/2011,0.65,,,,
01/07/2011,31/12/2011,0.9,,,,
01/01/2012,30/06/2012,1.15,,,,
01/07/2012,31/12/2012,1.5,,,,
01/01/2013,31/12/2013,2,,,,
01/01/2014,31/12/2014,2,,,,
01/01/2015,,2,,,,
,,,,,,
scheme_id,Year,Coal/peat,Oil,Natural gas,currency_code,source
lva_tax,2004,,,,,
lva_tax,2005,,,,,
lva_tax,2006,0.1,0.1,0.1,LVL,Leg(LVA-NRTL[2006])
lva_tax,2007,0.1,0.1,0.1,LVL,Leg(LVA-NRTL[2006])
lva_tax,2008,0.2,0.2,0.2,LVL,Leg(LVA-NRTL[2006])
lva_tax,2009,0.3,0.3,0.3,LVL,Leg(LVA-NRTL[2009])
lva_tax,2010,0.45,0.45,0.45,LVL,Leg(LVA-NRTL[2010])
lva_tax,2011,0.775,0.775,0.775,LVL,Leg(LVA-NRTL[2010])
lva_tax,2012,1.325,1.325,1.325,LVL,Leg(LVA-NRTL[2010])
lva_tax,2013,2,2,2,LVL,Leg(LVA-NRTL[2010])
lva_tax,2014,2,2,2,LVL,Leg(LVA-NRTL[2010])
lva_tax,2015,2,2,2,LVL,Leg(LVA-NRTL[2010])
lva_tax,2016,3.5,3.5,3.5,EUR,WB[2017]
lva_tax,2017,4.5,4.5,4.5,EUR,WB[2017]
lva_tax,2018,4.5,4.5,4.5,EUR,"WB[2017], WBCPD[2020]"
lva_tax,2019,4.5,4.5,4.5,EUR,"WB[2017], WBCPD[2020]"
lva_tax,2020,9,9,9,EUR,WBCPD[2020]
lva_tax,2021,12,12,12,EUR,WBCPD[2020]
