inst_1,inst_2,ipcc_code,year,source,comment
eu_ets,slo_tax,1A2A,2019,,
eu_ets,slo_tax,1A2A,2020,,
eu_ets,slo_tax,1A2B,2005,,
eu_ets,slo_tax,1A2B,2006,,
eu_ets,slo_tax,1A2B,2007,,
eu_ets,slo_tax,1A2B,2008,,
eu_ets,slo_tax,1A2B,2009,,
eu_ets,slo_tax,1A2B,2010,,
eu_ets,slo_tax,1A2B,2011,,
eu_ets,slo_tax,1A2B,2012,,
eu_ets,slo_tax,1A2B,2013,,
eu_ets,slo_tax,1A2B,2014,,
eu_ets,slo_tax,1A2B,2015,,
eu_ets,slo_tax,1A2B,2016,,
eu_ets,slo_tax,1A2B,2017,,
eu_ets,slo_tax,1A2B,2018,,
eu_ets,slo_tax,1A2B,2019,,
eu_ets,slo_tax,1A2B,2020,,
eu_ets,slo_tax,1A2C,2005,,
eu_ets,slo_tax,1A2C,2006,,
eu_ets,slo_tax,1A2C,2007,,
eu_ets,slo_tax,1A2C,2008,,
eu_ets,slo_tax,1A2C,2009,,
eu_ets,slo_tax,1A2C,2010,,
eu_ets,slo_tax,1A2C,2011,,
eu_ets,slo_tax,1A2C,2012,,
eu_ets,slo_tax,1A2C,2013,,
eu_ets,slo_tax,1A2C,2014,,
eu_ets,slo_tax,1A2C,2015,,
eu_ets,slo_tax,1A2C,2016,,
eu_ets,slo_tax,1A2C,2017,,
eu_ets,slo_tax,1A2C,2018,,
eu_ets,slo_tax,1A2C,2019,,
eu_ets,slo_tax,1A2C,2020,,
eu_ets,slo_tax,1A2D,2005,,
eu_ets,slo_tax,1A2D,2006,,
eu_ets,slo_tax,1A2D,2007,,
eu_ets,slo_tax,1A2D,2008,,
eu_ets,slo_tax,1A2D,2009,,
eu_ets,slo_tax,1A2D,2010,,
eu_ets,slo_tax,1A2D,2011,,
eu_ets,slo_tax,1A2D,2012,,
eu_ets,slo_tax,1A2D,2013,,
eu_ets,slo_tax,1A2D,2014,,
eu_ets,slo_tax,1A2D,2015,,
eu_ets,slo_tax,1A2D,2016,,
eu_ets,slo_tax,1A2D,2017,,
eu_ets,slo_tax,1A2D,2018,,
eu_ets,slo_tax,1A2D,2019,,
eu_ets,slo_tax,1A2D,2020,,
eu_ets,slo_tax,1A2E,2005,,
eu_ets,slo_tax,1A2E,2006,,
eu_ets,slo_tax,1A2E,2007,,
eu_ets,slo_tax,1A2E,2008,,
