Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Ontario,1989,1A4C2,Coal/peat,,,,,
Ontario,1989,1A4C2,Natural gas,,,,,
Ontario,1989,1A4C2,Oil,,,,,
Ontario,1989,1A4C3,Coal/peat,,,,,
Ontario,1989,1A4C3,Natural gas,,,,,
Ontario,1989,1A4C3,Oil,,,,,
Ontario,1989,1A5,Coal/peat,,,,,
Ontario,1989,1A5,Natural gas,,,,,
Ontario,1989,1A5,Oil,,,,,
Ontario,1989,1A5A,Coal/peat,,,,,
Ontario,1989,1A5A,Natural gas,,,,,
Ontario,1989,1A5A,Oil,,,,,
Ontario,1989,1A5B,Coal/peat,,,,,
Ontario,1989,1A5B,Natural gas,,,,,
Ontario,1989,1A5B,Oil,,,,,
Ontario,1989,1A5C,Coal/peat,,,,,
Ontario,1989,1A5C,Natural gas,,,,,
Ontario,1989,1A5C,Oil,,,,,
Ontario,1989,1B,,,,,,
Ontario,1989,1B1,,,,,,
Ontario,1989,1B1A,,,,,,
Ontario,1989,1B1A1,,,,,,
Ontario,1989,1B1A11,,,,,,
Ontario,1989,1B1A12,,,,,,
Ontario,1989,1B1A13,,,,,,
Ontario,1989,1B1A14,,,,,,
Ontario,1989,1B1A2,,,,,,
Ontario,1989,1B1A21,,,,,,
Ontario,1989,1B1A22,,,,,,
Ontario,1989,1B1B,,,,,,
Ontario,1989,1B2,,,,,,
Ontario,1989,1B2A,,,,,,
Ontario,1989,1B2A1,,,,,,
Ontario,1989,1B2A2,,,,,,
Ontario,1989,1B2A3,,,,,,
Ontario,1989,1B2A31,,,,,,
Ontario,1989,1B2A32,,,,,,
Ontario,1989,1B2A33,,,,,,
Ontario,1989,1B2A34,,,,,,
Ontario,1989,1B2A35,,,,,,
Ontario,1989,1B2A36,,,,,,
Ontario,1989,1B2B,,,,,,
Ontario,1989,1B2B1,,,,,,
Ontario,1989,1B2B2,,,,,,
Ontario,1989,1B2B3,,,,,,
Ontario,1989,1B2B31,,,,,,
Ontario,1989,1B2B32,,,,,,
Ontario,1989,1B2B33,,,,,,
Ontario,1989,1B2B34,,,,,,
Ontario,1989,1B2B35,,,,,,
Ontario,1989,1B2B36,,,,,,
Ontario,1989,1B3,,,,,,
Ontario,1989,1C,,,,,,
Ontario,1989,1C1,,,,,,
Ontario,1989,1C1A,,,,,,
Ontario,1989,1C1B,,,,,,
Ontario,1989,1C1C,,,,,,
Ontario,1989,1C2,,,,,,
Ontario,1989,1C2A,,,,,,
Ontario,1989,1C2B,,,,,,
Ontario,1989,1C3,,,,,,
Ontario,1989,2,,,,,,
Ontario,1989,20,,,,,,
Ontario,1989,200,,,,,,
Ontario,1989,2000,,,,,,
Ontario,1989,20000,,,,,,
Ontario,1989,200000,,,,,,
Ontario,1989,2A,,,,,,
Ontario,1989,2A1,,,,,,
Ontario,1989,2A2,,,,,,
Ontario,1989,2A3,,,,,,
Ontario,1989,2A4,,,,,,
Ontario,1989,2A4A,,,,,,
Ontario,1989,2A4B,,,,,,
Ontario,1989,2A4C,,,,,,
Ontario,1989,2A4D,,,,,,
Ontario,1989,2B,,,,,,
Ontario,1989,2B1,,,,,,
Ontario,1989,2B10,,,,,,
Ontario,1989,2B2,,,,,,
Ontario,1989,2B3,,,,,,
Ontario,1989,2B4,,,,,,
Ontario,1989,2B5,,,,,,
Ontario,1989,2B6,,,,,,
Ontario,1989,2B7,,,,,,
Ontario,1989,2B8,,,,,,
Ontario,1989,2B8A,,,,,,
Ontario,1989,2B8B,,,,,,
Ontario,1989,2B8C,,,,,,
Ontario,1989,2B8D,,,,,,
Ontario,1989,2B8E,,,,,,
Ontario,1989,2B8F,,,,,,
Ontario,1989,2B9,,,,,,
Ontario,1989,2B9A,,,,,,
Ontario,1989,2B9B,,,,,,
Ontario,1989,2C,,,,,,
Ontario,1989,2C1,,,,,,
Ontario,1989,2C2,,,,,,
Ontario,1989,2C3,,,,,,
Ontario,1989,2C4,,,,,,
Ontario,1989,2C5,,,,,,
Ontario,1989,2C6,,,,,,
Ontario,1989,2C7,,,,,,
Ontario,1989,2D,,,,,,
Ontario,1989,2D1,,,,,,
Ontario,1989,2D2,,,,,,
Ontario,1989,2D3,,,,,,
Ontario,1989,2D4,,,,,,
Ontario,1989,2E,,,,,,
Ontario,1989,2F,,,,,,
Ontario,1989,2F1,,,,,,
Ontario,1989,2F2,,,,,,
Ontario,1989,2F3,,,,,,
Ontario,1989,2F4,,,,,,
Ontario,1989,2F5,,,,,,
Ontario,1989,2F6,,,,,,
Ontario,1989,2G,,,,,,
Ontario,1989,2G1,,,,,,
Ontario,1989,2G2,,,,,,
Ontario,1989,2G3,,,,,,
Ontario,1989,2G4,,,,,,
