jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Shanghai Municipality,1989,1A4C1,Coal,,,,,
Shanghai Municipality,1989,1A4C1,Natural gas,,,,,
Shanghai Municipality,1989,1A4C1,Oil,,,,,
Shanghai Municipality,1989,1A4C2,Coal,,,,,
Shanghai Municipality,1989,1A4C2,Natural gas,,,,,
Shanghai Municipality,1989,1A4C2,Oil,,,,,
Shanghai Municipality,1989,1A4C3,Coal,,,,,
Shanghai Municipality,1989,1A4C3,Natural gas,,,,,
Shanghai Municipality,1989,1A4C3,Oil,,,,,
Shanghai Municipality,1989,1A5,Coal,,,,,
Shanghai Municipality,1989,1A5,Natural gas,,,,,
Shanghai Municipality,1989,1A5,Oil,,,,,
Shanghai Municipality,1989,1A5A,Coal,,,,,
Shanghai Municipality,1989,1A5A,Natural gas,,,,,
Shanghai Municipality,1989,1A5A,Oil,,,,,
Shanghai Municipality,1989,1A5B,Coal,,,,,
Shanghai Municipality,1989,1A5B,Natural gas,,,,,
Shanghai Municipality,1989,1A5B,Oil,,,,,
Shanghai Municipality,1989,1A5C,Coal,,,,,
Shanghai Municipality,1989,1A5C,Natural gas,,,,,
Shanghai Municipality,1989,1A5C,Oil,,,,,
Shanghai Municipality,1989,1B,,,,,,
Shanghai Municipality,1989,1B1,,,,,,
Shanghai Municipality,1989,1B1A,,,,,,
Shanghai Municipality,1989,1B1A1,,,,,,
Shanghai Municipality,1989,1B1A11,,,,,,
Shanghai Municipality,1989,1B1A12,,,,,,
Shanghai Municipality,1989,1B1A13,,,,,,
Shanghai Municipality,1989,1B1A14,,,,,,
Shanghai Municipality,1989,1B1A2,,,,,,
Shanghai Municipality,1989,1B1A21,,,,,,
Shanghai Municipality,1989,1B1A22,,,,,,
Shanghai Municipality,1989,1B1B,,,,,,
Shanghai Municipality,1989,1B2,,,,,,
Shanghai Municipality,1989,1B2A,,,,,,
Shanghai Municipality,1989,1B2A1,,,,,,
Shanghai Municipality,1989,1B2A2,,,,,,
Shanghai Municipality,1989,1B2A3,,,,,,
Shanghai Municipality,1989,1B2A31,,,,,,
Shanghai Municipality,1989,1B2A32,,,,,,
Shanghai Municipality,1989,1B2A33,,,,,,
Shanghai Municipality,1989,1B2A34,,,,,,
Shanghai Municipality,1989,1B2A35,,,,,,
Shanghai Municipality,1989,1B2A36,,,,,,
Shanghai Municipality,1989,1B2B,,,,,,
Shanghai Municipality,1989,1B2B1,,,,,,
Shanghai Municipality,1989,1B2B2,,,,,,
Shanghai Municipality,1989,1B2B3,,,,,,
Shanghai Municipality,1989,1B2B31,,,,,,
Shanghai Municipality,1989,1B2B32,,,,,,
Shanghai Municipality,1989,1B2B33,,,,,,
Shanghai Municipality,1989,1B2B34,,,,,,
Shanghai Municipality,1989,1B2B35,,,,,,
Shanghai Municipality,1989,1B2B36,,,,,,
Shanghai Municipality,1989,1B3,,,,,,
Shanghai Municipality,1989,1C,,,,,,
Shanghai Municipality,1989,1C1,,,,,,
Shanghai Municipality,1989,1C1A,,,,,,
Shanghai Municipality,1989,1C1B,,,,,,
Shanghai Municipality,1989,1C1C,,,,,,
Shanghai Municipality,1989,1C2,,,,,,
Shanghai Municipality,1989,1C2A,,,,,,
Shanghai Municipality,1989,1C2B,,,,,,
Shanghai Municipality,1989,1C3,,,,,,
Shanghai Municipality,1989,2,,,,,,
Shanghai Municipality,1989,20,,,,,,
Shanghai Municipality,1989,200,,,,,,
Shanghai Municipality,1989,2000,,,,,,
Shanghai Municipality,1989,20000,,,,,,
Shanghai Municipality,1989,200000,,,,,,
Shanghai Municipality,1989,2A,,,,,,
Shanghai Municipality,1989,2A1,,,,,,
Shanghai Municipality,1989,2A2,,,,,,
Shanghai Municipality,1989,2A3,,,,,,
Shanghai Municipality,1989,2A4,,,,,,
Shanghai Municipality,1989,2A4A,,,,,,
Shanghai Municipality,1989,2A4B,,,,,,
Shanghai Municipality,1989,2A4C,,,,,,
Shanghai Municipality,1989,2A4D,,,,,,
Shanghai Municipality,1989,2B,,,,,,
Shanghai Municipality,1989,2B1,,,,,,
Shanghai Municipality,1989,2B10,,,,,,
Shanghai Municipality,1989,2B2,,,,,,
Shanghai Municipality,1989,2B3,,,,,,
Shanghai Municipality,1989,2B4,,,,,,
Shanghai Municipality,1989,2B5,,,,,,
Shanghai Municipality,1989,2B6,,,,,,
Shanghai Municipality,1989,2B7,,,,,,
