filename,scheme_id,year,missing_columns
pol_tax_prices.csv,pol_tax,2008,comment
pol_tax_prices.csv,pol_tax,2009,comment
pol_tax_prices.csv,pol_tax,2010,comment
pol_tax_prices.csv,pol_tax,2011,comment
pol_tax_prices.csv,pol_tax,2012,comment
pol_tax_prices.csv,pol_tax,2013,comment
pol_tax_prices.csv,pol_tax,2014,comment
pol_tax_prices.csv,pol_tax,2015,comment
pol_tax_prices.csv,pol_tax,2016,comment
pol_tax_prices.csv,pol_tax,2017,comment
pol_tax_prices.csv,pol_tax,2018,comment
pol_tax_prices.csv,pol_tax,2019,comment
pol_tax_prices.csv,pol_tax,2020,comment
pol_tax_prices.csv,pol_tax,2021,comment
pol_tax_prices.csv,pol_tax,2022,comment
pol_tax_prices.csv,pol_tax,2023,comment
pol_tax_prices.csv,pol_tax,2024,"comment, source, rate"
arg_tax_prices.csv,arg_tax,2018,rate
arg_tax_prices.csv,arg_tax,2021,comment
arg_tax_prices.csv,arg_tax,2022,comment
arg_tax_prices.csv,arg_tax,2021,comment
arg_tax_prices.csv,arg_tax,2022,comment
arg_tax_prices.csv,arg_tax,2021,comment
arg_tax_prices.csv,arg_tax,2022,comment
lva_tax_prices.csv,lva_tax,2004,"currency_code, rate"
lva_tax_prices.csv,lva_tax,2005,"currency_code, rate"
lva_tax_prices.csv,lva_tax,2022,comment
lva_tax_prices.csv,lva_tax,2023,"comment, source"
lva_tax_prices.csv,lva_tax,2024,"comment, source"
lva_tax_prices.csv,lva_tax,2004,"currency_code, rate"
lva_tax_prices.csv,lva_tax,2005,"currency_code, rate"
lva_tax_prices.csv,lva_tax,2016,comment
lva_tax_prices.csv,lva_tax,2017,comment
lva_tax_prices.csv,lva_tax,2018,comment
lva_tax_prices.csv,lva_tax,2019,comment
lva_tax_prices.csv,lva_tax,2020,comment
lva_tax_prices.csv,lva_tax,2021,comment
lva_tax_prices.csv,lva_tax,2022,comment
lva_tax_prices.csv,lva_tax,2023,"comment, source"
lva_tax_prices.csv,lva_tax,2024,"comment, source"
lva_tax_prices.csv,lva_tax,2004,rate
lva_tax_prices.csv,lva_tax,2005,rate
lva_tax_prices.csv,lva_tax,2016,comment
lva_tax_prices.csv,lva_tax,2017,comment
lva_tax_prices.csv,lva_tax,2018,comment
lva_tax_prices.csv,lva_tax,2019,comment
lva_tax_prices.csv,lva_tax,2020,comment
lva_tax_prices.csv,lva_tax,2021,comment
lva_tax_prices.csv,lva_tax,2022,comment
lva_tax_prices.csv,lva_tax,2023,"comment, source"
lva_tax_prices.csv,lva_tax,2024,"comment, source"
nor_tax_I_prices.csv,nor_tax_I,2019,rate
nor_tax_I_prices.csv,nor_tax_I,2020,rate
nor_tax_I_prices.csv,nor_tax_I,2021,"comment, source, rate"
nor_tax_I_prices.csv,nor_tax_I,2022,"comment, rate"
nor_tax_I_prices.csv,nor_tax_I,2021,"comment, source"
nor_tax_I_prices.csv,nor_tax_I,2022,comment
nor_tax_I_prices.csv,nor_tax_I,2021,comment
nor_tax_I_prices.csv,nor_tax_I,2022,comment
slo_tax_prices.csv,slo_tax,1996,rate
slo_tax_prices.csv,slo_tax,2021,comment
slo_tax_prices.csv,slo_tax,2022,comment
slo_tax_prices.csv,slo_tax,2023,source
slo_tax_prices.csv,slo_tax,2024,"comment, source"
slo_tax_prices.csv,slo_tax,1996,rate
slo_tax_prices.csv,slo_tax,2021,comment
slo_tax_prices.csv,slo_tax,2023,source
slo_tax_prices.csv,slo_tax,2024,"comment, source"
slo_tax_prices.csv,slo_tax,1996,rate
slo_tax_prices.csv,slo_tax,2021,comment
slo_tax_prices.csv,slo_tax,2023,source
slo_tax_prices.csv,slo_tax,2024,"comment, source"
can_ab_tax_prices.csv,can_ab_tax,2017,comment
can_ab_tax_prices.csv,can_ab_tax,2018,comment
can_ab_tax_prices.csv,can_ab_tax,2019,comment
can_ab_tax_prices.csv,can_ab_tax,2020,comment
can_ab_tax_prices.csv,can_ab_tax,2021,comment
can_ab_tax_prices.csv,can_ab_tax,2022,comment
can_ab_tax_prices.csv,can_ab_tax,2017,comment
can_ab_tax_prices.csv,can_ab_tax,2018,comment
can_ab_tax_prices.csv,can_ab_tax,2019,comment
can_ab_tax_prices.csv,can_ab_tax,2020,comment
can_ab_tax_prices.csv,can_ab_tax,2021,comment
can_ab_tax_prices.csv,can_ab_tax,2022,comment
can_ab_tax_prices.csv,can_ab_tax,2017,comment
can_ab_tax_prices.csv,can_ab_tax,2018,comment
can_ab_tax_prices.csv,can_ab_tax,2019,comment
can_ab_tax_prices.csv,can_ab_tax,2020,comment
can_ab_tax_prices.csv,can_ab_tax,2021,comment
can_ab_tax_prices.csv,can_ab_tax,2022,comment
zaf_tax_prices.csv,zaf_tax,2019,comment
zaf_tax_prices.csv,zaf_tax,2020,comment
zaf_tax_prices.csv,zaf_tax,2021,comment
zaf_tax_prices.csv,zaf_tax,2022,comment
zaf_tax_prices.csv,zaf_tax,2023,comment
zaf_tax_prices.csv,zaf_tax,2024,comment
zaf_tax_prices.csv,zaf_tax,2019,comment
zaf_tax_prices.csv,zaf_tax,2020,comment
zaf_tax_prices.csv,zaf_tax,2021,comment
zaf_tax_prices.csv,zaf_tax,2022,comment
zaf_tax_prices.csv,zaf_tax,2023,comment
zaf_tax_prices.csv,zaf_tax,2024,comment
zaf_tax_prices.csv,zaf_tax,2019,comment
zaf_tax_prices.csv,zaf_tax,2020,comment
zaf_tax_prices.csv,zaf_tax,2021,comment
zaf_tax_prices.csv,zaf_tax,2022,comment
zaf_tax_prices.csv,zaf_tax,2023,comment
zaf_tax_prices.csv,zaf_tax,2024,comment
ukr_tax_prices.csv,ukr_tax,2011,comment
ukr_tax_prices.csv,ukr_tax,2012,comment
ukr_tax_prices.csv,ukr_tax,2013,comment
ukr_tax_prices.csv,ukr_tax,2014,comment
ukr_tax_prices.csv,ukr_tax,2015,"source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2016,"source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2017,comment
ukr_tax_prices.csv,ukr_tax,2018,comment
ukr_tax_prices.csv,ukr_tax,2019,comment
ukr_tax_prices.csv,ukr_tax,2020,comment
ukr_tax_prices.csv,ukr_tax,2021,comment
ukr_tax_prices.csv,ukr_tax,2022,comment
ukr_tax_prices.csv,ukr_tax,2011,comment
ukr_tax_prices.csv,ukr_tax,2012,comment
ukr_tax_prices.csv,ukr_tax,2013,comment
ukr_tax_prices.csv,ukr_tax,2014,comment
ukr_tax_prices.csv,ukr_tax,2015,"comment, source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2016,"comment, source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2017,comment
ukr_tax_prices.csv,ukr_tax,2018,comment
ukr_tax_prices.csv,ukr_tax,2019,comment
ukr_tax_prices.csv,ukr_tax,2020,comment
ukr_tax_prices.csv,ukr_tax,2021,comment
ukr_tax_prices.csv,ukr_tax,2022,comment
ukr_tax_prices.csv,ukr_tax,2011,comment
ukr_tax_prices.csv,ukr_tax,2012,comment
ukr_tax_prices.csv,ukr_tax,2013,comment
ukr_tax_prices.csv,ukr_tax,2014,comment
ukr_tax_prices.csv,ukr_tax,2015,"comment, source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2016,"comment, source, currency_code, rate"
ukr_tax_prices.csv,ukr_tax,2017,comment
ukr_tax_prices.csv,ukr_tax,2018,comment
ukr_tax_prices.csv,ukr_tax,2019,comment
ukr_tax_prices.csv,ukr_tax,2020,comment
ukr_tax_prices.csv,ukr_tax,2021,comment
ukr_tax_prices.csv,ukr_tax,2022,comment
