scheme_id,jurisdiction,year,ipcc_code,cf_N2O,cf_N2O_source,cf_N2O_comment
can_ab_ets,Alberta,2019,2B5,1.0,NA,NA
can_ab_ets,Alberta,2019,2B6,1.0,NA,NA
can_ab_ets,Alberta,2019,2B7,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8A,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8B,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8C,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8D,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8E,1.0,NA,NA
can_ab_ets,Alberta,2019,2B8F,1.0,NA,NA
can_ab_ets,Alberta,2019,2B9,1.0,NA,NA
can_ab_ets,Alberta,2019,2B9A,1.0,NA,NA
can_ab_ets,Alberta,2019,2B9B,1.0,NA,NA
can_ab_ets,Alberta,2019,2C,,NA,NA
can_ab_ets,Alberta,2019,2C1,1.0,NA,NA
can_ab_ets,Alberta,2019,2C2,1.0,NA,NA
can_ab_ets,Alberta,2019,2C3,1.0,NA,NA
can_ab_ets,Alberta,2019,2C4,1.0,NA,NA
can_ab_ets,Alberta,2019,2C5,1.0,NA,NA
can_ab_ets,Alberta,2019,2C6,1.0,NA,NA
can_ab_ets,Alberta,2019,2C7,1.0,NA,NA
can_ab_ets,Alberta,2019,2D,,NA,NA
can_ab_ets,Alberta,2019,2D1,1.0,NA,NA
can_ab_ets,Alberta,2019,2D2,1.0,NA,NA
can_ab_ets,Alberta,2019,2D3,1.0,NA,NA
can_ab_ets,Alberta,2019,2D4,1.0,NA,NA
can_ab_ets,Alberta,2019,2E,1.0,NA,NA
can_ab_ets,Alberta,2019,2E1,,NA,NA
can_ab_ets,Alberta,2019,2E2,,NA,NA
can_ab_ets,Alberta,2019,2E3,,NA,NA
can_ab_ets,Alberta,2019,2E4,,NA,NA
can_ab_ets,Alberta,2019,2E5,,NA,NA
can_ab_ets,Alberta,2019,2F,,NA,NA
can_ab_ets,Alberta,2019,2F1,1.0,NA,NA
