,"European Union Emissions Trading System",,,,,,"Québec Cap-and-Trade System",,,,,,,,,,"Ontario Cap-and-Trade Program (2017-2018)",,,,,,,,,,"Switzerland Emissions Trading System",,,,,,"Nova Scotia Cap-and-Trade Program (2019-2022)",,,,,,,,"United Kingdom Emissions Trading Scheme",,,,,,,,"China National Emissions Trading System",,,,,,"German National Emissions Trading System",,,,,,"Shenzhen (Pilot) Emissions Trading System",,,,,,"Shanghai (Pilot) Emissions Trading System",,,,,,"Beijing (Pilot) Emissions Trading System",,,,,,"Guangdong (Pilot) Emissions Trading System",,,,,,"Tianjin (Pilot) Emissions Trading System",,,,,,"Hubei (Pilot) Emissions Trading System",,,,,,"Chongqing (Pilot) Emissions Trading System",,,,,,"Fujian (Pilot) Emissions Trading System",,,,,,"New Zealand Emissions Trading System",,,,,,,,,,"Regional Greenhouse Gas Initiative",,,,,,,,,"California Cap-and-Trade Program",,,,,,,,,,,"Korean Emissions Trading System",,,,,,"Washington Cap-and-Invest Program",,,,,,,,,
Date,"Primary Market","Secondary Market","Market Currency","Exchange rate EUR/EUR","Exchange rate EUR/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 4","Secondary Market","Market Currency","Exchange rate CAD/EUR","Exchange rate CAD/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 4","Secondary Market","Market Currency","Exchange rate CAD/EUR","Exchange rate CAD/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CHF/EUR","Exchange rate CHF/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Market Currency","Exchange rate CAD/EUR","Exchange rate CAD/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Secondary Market","Market Currency","Exchange rate GBP/EUR","Exchange rate GBP/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate EUR/EUR","Exchange rate EUR/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate CNY/EUR","Exchange rate CNY/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market","Secondary Stability 5","Market Currency","Exchange rate NZD/EUR","Exchange rate NZD/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Secondary Market","Market Currency","Exchange rate USD/EUR","Exchange rate USD/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 4","Primary Stability 5","Secondary Market","Market Currency","Exchange rate USD/EUR","Exchange rate USD/USD",,"Primary Market","Secondary Market","Market Currency","Exchange rate KRW/EUR","Exchange rate KRW/USD",,"Primary Market","Primary Stability 1","Primary Stability 2","Primary Stability 3","Primary Stability 5","Secondary Market","Market Currency","Exchange rate USD/EUR","Exchange rate USD/USD",
2005-03-09,,10.4,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-10,,11.12,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-15,,10.6,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-16,,10.76,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-18,,11.45,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-21,,13.45,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-22,,14.32,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-29,,13.45,EUR,1,1.320066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
