jurisdiction,year,ipcc_code,Product
,1989,3C4,
,1989,3C5,
,1989,3C6,
,1989,3C7,
,1989,3C8,
,1989,3D,
,1989,3D1,
,1989,3D2,
,1989,4A,
,1989,4A1,
,1989,4A2,
,1989,4A3,
,1989,4B,
,1989,4C,
,1989,4C1,
,1989,4C2,
,1989,4D,
,1989,4D1,
,1989,4D2,
,1989,4E,
,1989,5A,
,1989,5A1,
,1989,5A2,
,1990,0,
,1990,1,
,1990,2,
,1990,3,
,1990,4,
,1990,5,
,1990,1A,Coal
,1990,1A,Natural gas
,1990,1A,Oil
,1990,1A1,Coal
,1990,1A1,Natural gas
,1990,1A1,Oil
,1990,1A1A,Coal
,1990,1A1A,Natural gas
,1990,1A1A,Oil
,1990,1A1A1,Coal
,1990,1A1A1,Natural gas
,1990,1A1A1,Oil
,1990,1A1A2,Coal
,1990,1A1A2,Natural gas
,1990,1A1A2,Oil
,1990,1A1A3,Coal
,1990,1A1A3,Natural gas
,1990,1A1A3,Oil
,1990,1A1B,Coal
,1990,1A1B,Natural gas
,1990,1A1B,Oil
,1990,1A1C,Coal
,1990,1A1C,Natural gas
,1990,1A1C,Oil
,1990,1A2,Coal
,1990,1A2,Natural gas
,1990,1A2,Oil
,1990,1A2A,Coal
,1990,1A2A,Natural gas
,1990,1A2A,Oil
,1990,1A2B,Coal
,1990,1A2B,Natural gas
,1990,1A2B,Oil
,1990,1A2C,Coal
,1990,1A2C,Natural gas
,1990,1A2C,Oil
,1990,1A2D,Coal
,1990,1A2D,Natural gas
,1990,1A2D,Oil
,1990,1A2E,Coal
,1990,1A2E,Natural gas
,1990,1A2E,Oil
,1990,1A2F,Coal
,1990,1A2F,Natural gas
,1990,1A2F,Oil
,1990,1A2G,Coal
,1990,1A2G,Natural gas
,1990,1A2G,Oil
,1990,1A2H,Coal
,1990,1A2H,Natural gas
,1990,1A2H,Oil
,1990,1A2I,Coal
,1990,1A2I,Natural gas
,1990,1A2I,Oil
,1990,1A2J,Coal
,1990,1A2J,Natural gas
,1990,1A2J,Oil
,1990,1A2K,Coal
,1990,1A2K,Natural gas
,1990,1A2K,Oil
,1990,1A2L,Coal
,1990,1A2L,Natural gas
,1990,1A2L,Oil
,1990,1A2M,Coal
,1990,1A2M,Natural gas
,1990,1A2M,Oil
,1990,1A3,Coal
,1990,1A3,Natural gas
,1990,1A3,Oil
,1990,1A3A,Coal
,1990,1A3A,Natural gas
,1990,1A3A,Oil
,1990,1A3A1,Coal
,1990,1A3A1,Natural gas
,1990,1A3A1,Oil
,1990,1A3A2,Coal
,1990,1A3A2,Natural gas
,1990,1A3A2,Oil
,1990,1A3B,Coal
,1990,1A3B,Natural gas
,1990,1A3B,Oil
,1990,1A3C,Coal
,1990,1A3C,Natural gas
,1990,1A3C,Oil
,1990,1A3D,Coal
,1990,1A3D,Natural gas
,1990,1A3D,Oil
,1990,1A3D1,Coal
,1990,1A3D1,Natural gas
,1990,1A3D1,Oil
,1990,1A3D2,Coal
,1990,1A3D2,Natural gas
,1990,1A3D2,Oil
,1990,1A3E,Coal
,1990,1A3E,Natural gas
,1990,1A3E,Oil
,1990,1A3E1,Coal
,1990,1A3E1,Natural gas
,1990,1A3E1,Oil
,1990,1A4,Coal
,1990,1A4,Natural gas
,1990,1A4,Oil
,1990,1A4A,Coal
,1990,1A4A,Natural gas
,1990,1A4A,Oil
,1990,1A4B,Coal
,1990,1A4B,Natural gas
,1990,1A4B,Oil
,1990,1A4C,Coal
,1990,1A4C,Natural gas
,1990,1A4C,Oil
,1990,1A4C1,Coal
,1990,1A4C1,Natural gas
,1990,1A4C1,Oil
,1990,1A4C2,Coal
,1990,1A4C2,Natural gas
,1990,1A4C2,Oil
,1990,1A4C3,Coal
,1990,1A4C3,Natural gas
,1990,1A4C3,Oil
,1990,1A5,Coal
,1990,1A5,Natural gas
,1990,1A5,Oil
,1990,1A5A,Coal
,1990,1A5A,Natural gas
,1990,1A5A,Oil
,1990,1A5B,Coal
,1990,1A5B,Natural gas
,1990,1A5B,Oil
,1990,1A5C,Coal
,1990,1A5C,Natural gas
,1990,1A5C,Oil
,1990,1B,
,1990,1B1,
,1990,1B1A,
,1990,1B1A1,
,1990,1B1A11,
,1990,1B1A12,
,1990,1B1A13,
,1990,1B1A14,
,1990,1B1A2,
,1990,1B1A21,
,1990,1B1A22,
,1990,1B1B,
,1990,1B2,
,1990,1B2A,
,1990,1B2A1,
,1990,1B2A2,
,1990,1B2A3,
,1990,1B2A31,
,1990,1B2A32,
,1990,1B2A33,
,1990,1B2A34,
,1990,1B2A35,
,1990,1B2A36,
