Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Lithuania,1989,1A4C,Natural gas,,,,,
Lithuania,1989,1A4C,Oil,,,,,
Lithuania,1989,1A4C1,Coal/peat,,,,,
Lithuania,1989,1A4C1,Natural gas,,,,,
Lithuania,1989,1A4C1,Oil,,,,,
Lithuania,1989,1A4C2,Coal/peat,,,,,
Lithuania,1989,1A4C2,Natural gas,,,,,
Lithuania,1989,1A4C2,Oil,,,,,
Lithuania,1989,1A4C3,Coal/peat,,,,,
Lithuania,1989,1A4C3,Natural gas,,,,,
Lithuania,1989,1A4C3,Oil,,,,,
Lithuania,1989,1A5,Coal/peat,,,,,
Lithuania,1989,1A5,Natural gas,,,,,
Lithuania,1989,1A5,Oil,,,,,
Lithuania,1989,1A5A,Coal/peat,,,,,
Lithuania,1989,1A5A,Natural gas,,,,,
Lithuania,1989,1A5A,Oil,,,,,
Lithuania,1989,1A5B,Coal/peat,,,,,
Lithuania,1989,1A5B,Natural gas,,,,,
Lithuania,1989,1A5B,Oil,,,,,
Lithuania,1989,1A5C,Coal/peat,,,,,
Lithuania,1989,1A5C,Natural gas,,,,,
Lithuania,1989,1A5C,Oil,,,,,
Lithuania,1989,1B,,,,,,
Lithuania,1989,1B1,,,,,,
Lithuania,1989,1B1A,,,,,,
Lithuania,1989,1B1A1,,,,,,
Lithuania,1989,1B1A11,,,,,,
Lithuania,1989,1B1A12,,,,,,
Lithuania,1989,1B1A13,,,,,,
Lithuania,1989,1B1A14,,,,,,
Lithuania,1989,1B1A2,,,,,,
Lithuania,1989,1B1A21,,,,,,
Lithuania,1989,1B1A22,,,,,,
Lithuania,1989,1B1B,,,,,,
Lithuania,1989,1B2,,,,,,
Lithuania,1989,1B2A,,,,,,
Lithuania,1989,1B2A1,,,,,,
Lithuania,1989,1B2A2,,,,,,
Lithuania,1989,1B2A3,,,,,,
Lithuania,1989,1B2A31,,,,,,
Lithuania,1989,1B2A32,,,,,,
Lithuania,1989,1B2A33,,,,,,
Lithuania,1989,1B2A34,,,,,,
Lithuania,1989,1B2A35,,,,,,
Lithuania,1989,1B2A36,,,,,,
Lithuania,1989,1B2B,,,,,,
Lithuania,1989,1B2B1,,,,,,
Lithuania,1989,1B2B2,,,,,,
Lithuania,1989,1B2B3,,,,,,
Lithuania,1989,1B2B31,,,,,,
Lithuania,1989,1B2B32,,,,,,
Lithuania,1989,1B2B33,,,,,,
Lithuania,1989,1B2B34,,,,,,
Lithuania,1989,1B2B35,,,,,,
Lithuania,1989,1B2B36,,,,,,
Lithuania,1989,1B3,,,,,,
Lithuania,1989,1C,,,,,,
Lithuania,1989,1C1,,,,,,
Lithuania,1989,1C1A,,,,,,
Lithuania,1989,1C1B,,,,,,
Lithuania,1989,1C1C,,,,,,
Lithuania,1989,1C2,,,,,,
Lithuania,1989,1C2A,,,,,,
Lithuania,1989,1C2B,,,,,,
Lithuania,1989,1C3,,,,,,
Lithuania,1989,2,,,,,,
Lithuania,1989,20,,,,,,
Lithuania,1989,200,,,,,,
Lithuania,1989,2000,,,,,,
Lithuania,1989,20000,,,,,,
Lithuania,1989,200000,,,,,,
Lithuania,1989,2A,,,,,,
Lithuania,1989,2A1,,,,,,
Lithuania,1989,2A2,,,,,,
Lithuania,1989,2A3,,,,,,
Lithuania,1989,2A4,,,,,,
Lithuania,1989,2A4A,,,,,,
Lithuania,1989,2A4B,,,,,,
Lithuania,1989,2A4C,,,,,,
Lithuania,1989,2A4D,,,,,,
Lithuania,1989,2B,,,,,,
Lithuania,1989,2B1,,,,,,
Lithuania,1989,2B10,,,,,,
Lithuania,1989,2B2,,,,,,
Lithuania,1989,2B3,,,,,,
Lithuania,1989,2B4,,,,,,
Lithuania,1989,2B5,,,,,,
Lithuania,1989,2B6,,,,,,
Lithuania,1989,2B7,,,,,,
Lithuania,1989,2B8,,,,,,
Lithuania,1989,2B8A,,,,,,
Lithuania,1989,2B8B,,,,,,
Lithuania,1989,2B8C,,,,,,
Lithuania,1989,2B8D,,,,,,
Lithuania,1989,2B8E,,,,,,
Lithuania,1989,2B8F,,,,,,
Lithuania,1989,2B9,,,,,,
Lithuania,1989,2B9A,,,,,,
Lithuania,1989,2B9B,,,,,,
Lithuania,1989,2C,,,,,,
Lithuania,1989,2C1,,,,,,
Lithuania,1989,2C2,,,,,,
Lithuania,1989,2C3,,,,,,
Lithuania,1989,2C4,,,,,,
Lithuania,1989,2C5,,,,,,
Lithuania,1989,2C6,,,,,,
Lithuania,1989,2C7,,,,,,
Lithuania,1989,2D,,,,,,
Lithuania,1989,2D1,,,,,,
Lithuania,1989,2D2,,,,,,
Lithuania,1989,2D3,,,,,,
Lithuania,1989,2D4,,,,,,
Lithuania,1989,2E,,,,,,
Lithuania,1989,2F,,,,,,
Lithuania,1989,2F1,,,,,,
Lithuania,1989,2F2,,,,,,
Lithuania,1989,2F3,,,,,,
Lithuania,1989,2F4,,,,,,
Lithuania,1989,2F5,,,,,,
Lithuania,1989,2F6,,,,,,
Lithuania,1989,2G,,,,,,
Lithuania,1989,2G1,,,,,,
Lithuania,1989,2G2,,,,,,
Lithuania,1989,2G3,,,,,,
Lithuania,1989,2G4,,,,,,
Lithuania,1989,2H,,,,,,
Lithuania,1989,2H1,,,,,,
Lithuania,1989,2H2,,,,,,
Lithuania,1989,2H3,,,,,,
Lithuania,1989,3,,,,,,
Lithuania,1989,3A,,,,,,
Lithuania,1989,3A1,,,,,,
Lithuania,1989,3A2,,,,,,
Lithuania,1989,3B,,,,,,
Lithuania,1989,3B1,,,,,,
Lithuania,1989,3B1A,,,,,,
Lithuania,1989,3B1B,,,,,,
Lithuania,1989,3B2,,,,,,
Lithuania,1989,3B2A,,,,,,
Lithuania,1989,3B2B,,,,,,
Lithuania,1989,3B3,,,,,,
Lithuania,1989,3B3A,,,,,,
Lithuania,1989,3B3B,,,,,,
Lithuania,1989,3B4,,,,,,
Lithuania,1989,3B4A,,,,,,
Lithuania,1989,3B4B,,,,,,
Lithuania,1989,3B5,,,,,,
Lithuania,1989,3B5A,,,,,,
Lithuania,1989,3B5B,,,,,,
Lithuania,1989,3B6,,,,,,
Lithuania,1989,3B6A,,,,,,
Lithuania,1989,3B6B,,,,,,
Lithuania,1989,3B6B1,,,,,,
Lithuania,1989,3B6B2,,,,,,
Lithuania,1989,3B6B3,,,,,,
Lithuania,1989,3B6B4,,,,,,
Lithuania,1989,3B6B5,,,,,,
Lithuania,1989,3C,,,,,,
Lithuania,1989,3C1,,,,,,
Lithuania,1989,3C2,,,,,,
Lithuania,1989,3C3,,,,,,
Lithuania,1989,3C4,,,,,,
Lithuania,1989,3C5,,,,,,
Lithuania,1989,3C6,,,,,,
Lithuania,1989,3C7,,,,,,
Lithuania,1989,3C8,,,,,,
Lithuania,1989,3D,,,,,,
Lithuania,1989,3D1,,,,,,
Lithuania,1989,3D2,,,,,,
Lithuania,1989,4,,,,,,
Lithuania,1989,4A,,,,,,
Lithuania,1989,4A1,,,,,,
Lithuania,1989,4A2,,,,,,
Lithuania,1989,4A3,,,,,,
Lithuania,1989,4B,,,,,,
Lithuania,1989,4C,,,,,,
Lithuania,1989,4C1,,,,,,
Lithuania,1989,4C2,,,,,,
Lithuania,1989,4D,,,,,,
Lithuania,1989,4D1,,,,,,
Lithuania,1989,4D2,,,,,,
Lithuania,1989,4E,,,,,,
Lithuania,1989,5,,,,,,
Lithuania,1989,5A,,,,,,
Lithuania,1989,5A1,,,,,,
Lithuania,1989,5A2,,,,,,
Lithuania,1990,0,,,,,,
Lithuania,1990,1,,,,,,
Lithuania,1990,1A,Coal/peat,,,,,
Lithuania,1990,1A,Natural gas,,,,,
Lithuania,1990,1A,Oil,,,,,
Lithuania,1990,1A1,Coal/peat,,,,,
Lithuania,1990,1A1,Natural gas,,,,,
Lithuania,1990,1A1,Oil,,,,,
Lithuania,1990,1A1A,Coal/peat,,,,,
Lithuania,1990,1A1A,Natural gas,,,,,
Lithuania,1990,1A1A,Oil,,,,,
Lithuania,1990,1A1A1,Coal/peat,,,,,
Lithuania,1990,1A1A1,Natural gas,,,,,
Lithuania,1990,1A1A1,Oil,,,,,
Lithuania,1990,1A1A2,Coal/peat,,,,,
Lithuania,1990,1A1A2,Natural gas,,,,,
Lithuania,1990,1A1A2,Oil,,,,,
Lithuania,1990,1A1A3,Coal/peat,,,,,
Lithuania,1990,1A1A3,Natural gas,,,,,
Lithuania,1990,1A1A3,Oil,,,,,
Lithuania,1990,1A1B,Coal/peat,,,,,
Lithuania,1990,1A1B,Natural gas,,,,,
Lithuania,1990,1A1B,Oil,,,,,
Lithuania,1990,1A1C,Coal/peat,,,,,
Lithuania,1990,1A1C,Natural gas,,,,,
Lithuania,1990,1A1C,Oil,,,,,
Lithuania,1990,1A2,Coal/peat,,,,,
Lithuania,1990,1A2,Natural gas,,,,,
Lithuania,1990,1A2,Oil,,,,,
Lithuania,1990,1A2A,Coal/peat,,,,,
Lithuania,1990,1A2A,Natural gas,,,,,
Lithuania,1990,1A2A,Oil,,,,,
Lithuania,1990,1A2B,Coal/peat,,,,,
Lithuania,1990,1A2B,Natural gas,,,,,
Lithuania,1990,1A2B,Oil,,,,,
Lithuania,1990,1A2C,Coal/peat,,,,,
Lithuania,1990,1A2C,Natural gas,,,,,
Lithuania,1990,1A2C,Oil,,,,,
Lithuania,1990,1A2D,Coal/peat,,,,,
Lithuania,1990,1A2D,Natural gas,,,,,
Lithuania,1990,1A2D,Oil,,,,,
Lithuania,1990,1A2E,Coal/peat,,,,,
Lithuania,1990,1A2E,Natural gas,,,,,
Lithuania,1990,1A2E,Oil,,,,,
Lithuania,1990,1A2F,Coal/peat,,,,,
Lithuania,1990,1A2F,Natural gas,,,,,
Lithuania,1990,1A2F,Oil,,,,,
Lithuania,1990,1A2G,Coal/peat,,,,,
Lithuania,1990,1A2G,Natural gas,,,,,
Lithuania,1990,1A2G,Oil,,,,,
Lithuania,1990,1A2H,Coal/peat,,,,,
Lithuania,1990,1A2H,Natural gas,,,,,
Lithuania,1990,1A2H,Oil,,,,,
Lithuania,1990,1A2I,Coal/peat,,,,,
Lithuania,1990,1A2I,Natural gas,,,,,
Lithuania,1990,1A2I,Oil,,,,,
Lithuania,1990,1A2J,Coal/peat,,,,,
Lithuania,1990,1A2J,Natural gas,,,,,
Lithuania,1990,1A2J,Oil,,,,,
Lithuania,1990,1A2K,Coal/peat,,,,,
Lithuania,1990,1A2K,Natural gas,,,,,
Lithuania,1990,1A2K,Oil,,,,,
Lithuania,1990,1A2L,Coal/peat,,,,,
Lithuania,1990,1A2L,Natural gas,,,,,
Lithuania,1990,1A2L,Oil,,,,,
Lithuania,1990,1A2M,Coal/peat,,,,,
Lithuania,1990,1A2M,Natural gas,,,,,
Lithuania,1990,1A2M,Oil,,,,,
Lithuania,1990,1A3,Coal/peat,,,,,
Lithuania,1990,1A3,Natural gas,,,,,
Lithuania,1990,1A3,Oil,,,,,
Lithuania,1990,1A3A,Coal/peat,,,,,
Lithuania,1990,1A3A,Natural gas,,,,,
Lithuania,1990,1A3A,Oil,,,,,
Lithuania,1990,1A3A1,Coal/peat,,,,,
Lithuania,1990,1A3A1,Natural gas,,,,,
