jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Sao Tome and Principe,1989,1A3D2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3D2,Natural gas,,,,,
Sao Tome and Principe,1989,1A3D2,Oil,,,,,
Sao Tome and Principe,1989,1A3E,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3E,Natural gas,,,,,
Sao Tome and Principe,1989,1A3E,Oil,,,,,
Sao Tome and Principe,1989,1A3E1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A3E1,Natural gas,,,,,
Sao Tome and Principe,1989,1A3E1,Oil,,,,,
Sao Tome and Principe,1989,1A4,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4,Natural gas,,,,,
Sao Tome and Principe,1989,1A4,Oil,,,,,
Sao Tome and Principe,1989,1A4A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4A,Natural gas,,,,,
Sao Tome and Principe,1989,1A4A,Oil,,,,,
Sao Tome and Principe,1989,1A4B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4B,Natural gas,,,,,
Sao Tome and Principe,1989,1A4B,Oil,,,,,
Sao Tome and Principe,1989,1A4C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C,Natural gas,,,,,
Sao Tome and Principe,1989,1A4C,Oil,,,,,
Sao Tome and Principe,1989,1A4C1,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C1,Natural gas,,,,,
Sao Tome and Principe,1989,1A4C1,Oil,,,,,
Sao Tome and Principe,1989,1A4C2,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C2,Natural gas,,,,,
Sao Tome and Principe,1989,1A4C2,Oil,,,,,
Sao Tome and Principe,1989,1A4C3,Coal/peat,,,,,
Sao Tome and Principe,1989,1A4C3,Natural gas,,,,,
Sao Tome and Principe,1989,1A4C3,Oil,,,,,
Sao Tome and Principe,1989,1A5,Coal/peat,,,,,
Sao Tome and Principe,1989,1A5,Natural gas,,,,,
Sao Tome and Principe,1989,1A5,Oil,,,,,
Sao Tome and Principe,1989,1A5A,Coal/peat,,,,,
Sao Tome and Principe,1989,1A5A,Natural gas,,,,,
Sao Tome and Principe,1989,1A5A,Oil,,,,,
Sao Tome and Principe,1989,1A5B,Coal/peat,,,,,
Sao Tome and Principe,1989,1A5B,Natural gas,,,,,
Sao Tome and Principe,1989,1A5B,Oil,,,,,
Sao Tome and Principe,1989,1A5C,Coal/peat,,,,,
Sao Tome and Principe,1989,1A5C,Natural gas,,,,,
Sao Tome and Principe,1989,1A5C,Oil,,,,,
Sao Tome and Principe,1989,1B,,,,,,
Sao Tome and Principe,1989,1B1,,,,,,
Sao Tome and Principe,1989,1B1A,,,,,,
Sao Tome and Principe,1989,1B1A1,,,,,,
Sao Tome and Principe,1989,1B1A11,,,,,,
Sao Tome and Principe,1989,1B1A12,,,,,,
Sao Tome and Principe,1989,1B1A13,,,,,,
Sao Tome and Principe,1989,1B1A14,,,,,,
Sao Tome and Principe,1989,1B1A2,,,,,,
Sao Tome and Principe,1989,1B1A21,,,,,,
Sao Tome and Principe,1989,1B1A22,,,,,,
Sao Tome and Principe,1989,1B1B,,,,,,
Sao Tome and Principe,1989,1B2,,,,,,
Sao Tome and Principe,1989,1B2A,,,,,,
Sao Tome and Principe,1989,1B2A1,,,,,,
Sao Tome and Principe,1989,1B2A2,,,,,,
Sao Tome and Principe,1989,1B2A3,,,,,,
Sao Tome and Principe,1989,1B2A31,,,,,,
