Jurisdiction,Year,IPCC_cat_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Federated States of Micronesia,1989,1A3D2,Coal/peat,,,,,
Federated States of Micronesia,1989,1A3D2,Natural gas,,,,,
Federated States of Micronesia,1989,1A3D2,Oil,,,,,
Federated States of Micronesia,1989,1A3E,Coal/peat,,,,,
Federated States of Micronesia,1989,1A3E,Natural gas,,,,,
Federated States of Micronesia,1989,1A3E,Oil,,,,,
Federated States of Micronesia,1989,1A3E1,Coal/peat,,,,,
Federated States of Micronesia,1989,1A3E1,Natural gas,,,,,
Federated States of Micronesia,1989,1A3E1,Oil,,,,,
Federated States of Micronesia,1989,1A4,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4,Natural gas,,,,,
Federated States of Micronesia,1989,1A4,Oil,,,,,
Federated States of Micronesia,1989,1A4A,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4A,Natural gas,,,,,
Federated States of Micronesia,1989,1A4A,Oil,,,,,
Federated States of Micronesia,1989,1A4B,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4B,Natural gas,,,,,
Federated States of Micronesia,1989,1A4B,Oil,,,,,
Federated States of Micronesia,1989,1A4C,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4C,Natural gas,,,,,
Federated States of Micronesia,1989,1A4C,Oil,,,,,
Federated States of Micronesia,1989,1A4C1,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4C1,Natural gas,,,,,
Federated States of Micronesia,1989,1A4C1,Oil,,,,,
Federated States of Micronesia,1989,1A4C2,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4C2,Natural gas,,,,,
Federated States of Micronesia,1989,1A4C2,Oil,,,,,
Federated States of Micronesia,1989,1A4C3,Coal/peat,,,,,
Federated States of Micronesia,1989,1A4C3,Natural gas,,,,,
Federated States of Micronesia,1989,1A4C3,Oil,,,,,
Federated States of Micronesia,1989,1A5,Coal/peat,,,,,
Federated States of Micronesia,1989,1A5,Natural gas,,,,,
Federated States of Micronesia,1989,1A5,Oil,,,,,
Federated States of Micronesia,1989,1A5A,Coal/peat,,,,,
Federated States of Micronesia,1989,1A5A,Natural gas,,,,,
Federated States of Micronesia,1989,1A5A,Oil,,,,,
Federated States of Micronesia,1989,1A5B,Coal/peat,,,,,
Federated States of Micronesia,1989,1A5B,Natural gas,,,,,
Federated States of Micronesia,1989,1A5B,Oil,,,,,
Federated States of Micronesia,1989,1A5C,Coal/peat,,,,,
Federated States of Micronesia,1989,1A5C,Natural gas,,,,,
Federated States of Micronesia,1989,1A5C,Oil,,,,,
Federated States of Micronesia,1989,1B,,,,,,
Federated States of Micronesia,1989,1B1,,,,,,
Federated States of Micronesia,1989,1B1A,,,,,,
Federated States of Micronesia,1989,1B1A1,,,,,,
Federated States of Micronesia,1989,1B1A11,,,,,,
Federated States of Micronesia,1989,1B1A12,,,,,,
Federated States of Micronesia,1989,1B1A13,,,,,,
Federated States of Micronesia,1989,1B1A14,,,,,,
Federated States of Micronesia,1989,1B1A2,,,,,,
Federated States of Micronesia,1989,1B1A21,,,,,,
Federated States of Micronesia,1989,1B1A22,,,,,,
Federated States of Micronesia,1989,1B1B,,,,,,
Federated States of Micronesia,1989,1B2,,,,,,
Federated States of Micronesia,1989,1B2A,,,,,,
Federated States of Micronesia,1989,1B2A1,,,,,,
Federated States of Micronesia,1989,1B2A2,,,,,,
Federated States of Micronesia,1989,1B2A3,,,,,,
Federated States of Micronesia,1989,1B2A31,,,,,,
Federated States of Micronesia,1989,1B2A32,,,,,,
Federated States of Micronesia,1989,1B2A33,,,,,,
Federated States of Micronesia,1989,1B2A34,,,,,,
Federated States of Micronesia,1989,1B2A35,,,,,,
Federated States of Micronesia,1989,1B2A36,,,,,,
Federated States of Micronesia,1989,1B2B,,,,,,
Federated States of Micronesia,1989,1B2B1,,,,,,
Federated States of Micronesia,1989,1B2B2,,,,,,
