scheme_id,jurisdiction,year,ipcc_code,cf_CH4,cf_CH4_source,cf_CH4_comment
can_ab_ets,Alberta,2007,0,,NA,NA
can_ab_ets,Alberta,2007,1,,NA,NA
can_ab_ets,Alberta,2007,1A,,NA,NA
can_ab_ets,Alberta,2007,1A1,,NA,NA
can_ab_ets,Alberta,2007,1A1A,,NA,NA
can_ab_ets,Alberta,2007,1A1A1,1.0,NA,NA
can_ab_ets,Alberta,2007,1A1A2,1.0,NA,NA
can_ab_ets,Alberta,2007,1A1A3,,NA,NA
can_ab_ets,Alberta,2007,1A1B,1.0,NA,NA
can_ab_ets,Alberta,2007,1A1C,,NA,NA
can_ab_ets,Alberta,2007,1A2,,NA,NA
can_ab_ets,Alberta,2007,1A2A,,NA,NA
can_ab_ets,Alberta,2007,1A2B,,NA,NA
can_ab_ets,Alberta,2007,1A2C,1.0,NA,NA
can_ab_ets,Alberta,2007,1A2D,,NA,NA
can_ab_ets,Alberta,2007,1A2E,1.0,NA,NA
can_ab_ets,Alberta,2007,1A2F,,NA,NA
can_ab_ets,Alberta,2007,1A2G,,NA,NA
can_ab_ets,Alberta,2007,1A2H,,NA,NA
can_ab_ets,Alberta,2007,1A2I,,NA,NA
can_ab_ets,Alberta,2007,1A2J,,NA,NA
can_ab_ets,Alberta,2007,1A2K,,NA,NA
can_ab_ets,Alberta,2007,1A2L,,NA,NA
can_ab_ets,Alberta,2007,1A2M,,NA,NA
can_ab_ets,Alberta,2007,1A3,,NA,NA
can_ab_ets,Alberta,2007,1A3A,,NA,NA
can_ab_ets,Alberta,2007,1A3A1,,NA,NA
can_ab_ets,Alberta,2007,1A3A2,,NA,NA
can_ab_ets,Alberta,2007,1A3B,,NA,NA
can_ab_ets,Alberta,2007,1A3C,,NA,NA
can_ab_ets,Alberta,2007,1A3D,,NA,NA
can_ab_ets,Alberta,2007,1A3D1,,NA,NA
can_ab_ets,Alberta,2007,1A3D2,,NA,NA
can_ab_ets,Alberta,2007,1A3E,,NA,NA
can_ab_ets,Alberta,2007,1A3E1,,NA,NA
can_ab_ets,Alberta,2007,1A4,,NA,NA
can_ab_ets,Alberta,2007,1A4A,,NA,NA
can_ab_ets,Alberta,2007,1A4B,,NA,NA
can_ab_ets,Alberta,2007,1A4C,,NA,NA
can_ab_ets,Alberta,2007,1A4C1,1.0,NA,NA
can_ab_ets,Alberta,2007,1A4C2,,NA,NA
can_ab_ets,Alberta,2007,1A4C3,,NA,NA
can_ab_ets,Alberta,2007,1A5,,NA,NA
can_ab_ets,Alberta,2007,1A5A,,NA,NA
can_ab_ets,Alberta,2007,1A5B,,NA,NA
can_ab_ets,Alberta,2007,1A5C,,NA,NA
can_ab_ets,Alberta,2007,1B,,NA,NA
can_ab_ets,Alberta,2007,1B1,,NA,NA
can_ab_ets,Alberta,2007,1B1A,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A1,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A11,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A12,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A13,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A14,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A2,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A21,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1A22,1.0,NA,NA
can_ab_ets,Alberta,2007,1B1B,,NA,NA
can_ab_ets,Alberta,2007,1B2,,NA,NA
can_ab_ets,Alberta,2007,1B2A,,NA,NA
can_ab_ets,Alberta,2007,1B2A1,,NA,NA
can_ab_ets,Alberta,2007,1B2A2,,NA,NA
can_ab_ets,Alberta,2007,1B2A3,,NA,NA
can_ab_ets,Alberta,2007,1B2A31,,NA,NA
can_ab_ets,Alberta,2007,1B2A32,,NA,NA
can_ab_ets,Alberta,2007,1B2A33,,NA,NA
can_ab_ets,Alberta,2007,1B2A34,,NA,NA
can_ab_ets,Alberta,2007,1B2A35,,NA,NA
can_ab_ets,Alberta,2007,1B2A36,,NA,NA
can_ab_ets,Alberta,2007,1B2B,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B1,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B2,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B3,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B31,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B32,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B33,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B34,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B35,1.0,NA,NA
can_ab_ets,Alberta,2007,1B2B36,1.0,NA,NA
can_ab_ets,Alberta,2007,1B3,,NA,NA
can_ab_ets,Alberta,2007,1C,,NA,NA
can_ab_ets,Alberta,2007,1C1,,NA,NA
can_ab_ets,Alberta,2007,1C1A,,NA,NA
can_ab_ets,Alberta,2007,1C1B,,NA,NA
