fuel_name,ncv_tj_per_gg,co2_ef_kg_per_tj,source_id_ncv,source_id_co2_ef,notes
Industrial Wastes,,143000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Jet Gasoline,44.3,70000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Jet Kerosene,44.1,71500.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Landfill Gas 16,50.4,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Lignite,11.9,101000.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Liquefied Petroleum Gases,47.3,63100.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Lubricants,40.2,73300.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Motor Gasoline,44.3,69300,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Municipal Wastes (biomass fraction),11.6,,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
Municipal Wastes (non-biomass fraction),10.0,91700.0,IPCC-2006-V2-CH1,IPCC-2006-V2-CH1,Defaults from IPCC 2006 Vol.2 Ch.1 Tables 1.2 (NCV) and 1.4 (CO2 EF); 2019 Refinement uses 2006 defaults.
