jurisdiction,year,institution,url,last_accessed,comment,citation_key,sourceID
New Brunswick,2021,Government of New Brunswick,https://www2.gnb.ca/content/gnb/en/departments/finance/news/news_release.2021.03.0207.html,2021,,NB(2021),CAN-NB-web-001
New Brunswick,2021,OSLER,https://www.osler.com/en/resources/regulations/2015/carbon-ghg/carbon-and-greenhouse-gas-legislation-in-new-bruns,2021,,OSLER(2021),CAN-NB-web-002
New Zealand,2015,New Zealand Emissions register,http://www.eur.govt.nz/search-the-register,,,NZ,NZL-web-001
New Brunswick,,KPMG,https://assets.kpmg/content/dam/kpmg/ca/pdf/tnf/2020/ca-new-brunswick-tax-on-carbon-emitting-products-starts-april-1-2020.pdf,2021,,KPMG(2020),CAN-NB-web-004
Newfoundland and Labrador,,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ecc/files/publications-nl-carbon-pricing-plan.pdf,2021,,NLGOV(2019),CAN-NL-web-001
Northwest Territories,,Field Law,https://www.fieldlaw.com/News-Views-Events/182308/Carbon-Tax-in-the-Northwest-Territories-What-You-Need-to-Know,2021,,FIELDLAW(2021),CAN-NT-web-001
Norway,2015,Norway customs directorate,http://www.toll.no/en/international/english/excise-duties/mineral-products/r_4/,,,NW,NOR-web-001
Norway,2016,Norwegian Customs Agency,http://www.toll.no/en/,,,NO-CA,NOR-web-002
Quebec,2015,Ministere du developpement durable de la Province du Quebec,https://www.environnement.gouv.qc.ca/changements/carbone/Ventes-encheres-en.htm,,,QC,CAN-QC-web-001
Quebec,2015,Quebec Emissions Trading scheme,https://www.environnement.gouv.qc.ca/changements/carbone/ventes-encheres/avis-resultats-en.htm,,,QC,CAN-QC-web-002
Quebec,,ICAP,https://icapcarbonaction.com/en/?option=com_etsmap&task=export&format=pdf&layout=list&systems%5B%5D=73,2021,,ICAP(2021),CAN-QC-web-003
Queretaro,2022,Carbon Pulse, https://carbon-pulse.com/173269/, 2025,,QT-CARB, MEX-QT-web-001
Queretaro,2025, Tramites Queretaro, https://tramitesqueretaro.mx/ficha/DeclaracionImpuestoEmisionGasesAtmosfera, 2025,,QT-TQ, MEX-QT-web-002
Shanghai,2015,Shanghai Environment and Energy Exchange,http://www.cneeex.com/detail.jsp?main_colid=224&top_id=218&main_artid=6702,,,,CHN-SH-web-001
Shenzhen,2015,China Emission Exchange,http://www.cerx.cn/information/index_49.htm,,,,CHN-SZ-web-001
South Africa,2020,South African Revenue Service,https://www.sars.gov.za/customs-and-excise/excise/environmental-levy-products/carbon-tax/,2021,,SAGOV(2020),ZAF-web-001
Spain,,"Espana, Ministerio de Hacienda y funcion publica","https://sede-agenciatributaria-gob-es.translate.goog/Sede/impuestos-especiales-medioambientales/impuesto-sobre-gases-fluorados-efecto-invernadero.html?_x_tr_sl=es&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=op,wapp",2022,Impuesto sobre gases fluorados de efecto invernadero,,ESP-web-001
Sweden,2015,Swedish Taxation Agency,http://www.skatteverket.se/foretagorganisationer/skatter/punktskatter/energiskatter/skattesatser.4.77dbcb041438070e0395e96.html,,,SW-TA,SWE-web-001
Switzerland,2015,Swiss Federal Office for the Environment,http://www.bafu.admin.ch/klima/13877/14510/14719/14741/index.html?lang=en#sprungmarke3_4,,,SW-FOEN,CHE-web-001
Switzerland,2021,Swiss Emissions Registry,https://www.emissionsregistry.admin.ch/crweb/public/welcome.do,,,SW-ER,CHE-web-002
Tianjin,2015,Tianjin Climate Exchange,http://www.chinatcx.com.cn/tcxweb/pages/trading/trading_hq.jsp?page=14,,,,CHN-TJ-web-001
Tamaulipas,2023, CarbonPulse, https://carbon-pulse.com/216830/,, TM-CARB, MEX-TM-web-001
Tamaulipas,2024, Lexology, https://www.lexology.com/library/detail.aspx?g=0549f295-6947-47c2-9f96-f2d8655f4d39,2025,,TM-LEX, MEX-TM-web-002, 
Tamaulipas,2024, Expansion ESG, https://esg.expansion.mx/finanzas-sostenibles/2024/08/15/impuesto-al-carbono-mas-que-recaudacion, 2025,, TM-EESG, MEX-TM-web-003, 
Tokyo,2015,Tokyo Metropolitan Government - Bureau of Environment,https://www.kankyo.metro.tokyo.jp/en/climate/cap_and_trade.html,,,TK,JPN-TOK-web-001
Ukraine,,VoxUkraine,https://voxukraine.org/en/the-environmental-tax-policy-in-ukraine-and-sweden/,2021,,VO-UKR,UKR-web-001
"USA, states",2016,US Census Bureau,https://www.census.gov/foreign-trade/statistics/state/data/index.html,,,USCB-TR,USA-STA-web-001
Guanajuato,2024,,https://smaot.guanajuato.gob.mx/sitio/cambio-climatico/index.php,2024,,,MEX-GJ-web-001
